surface,normalized,dictionary,pos
퀵,퀵,퀵,Noun
스타,스타,스타,Noun
중국,중국,중국,Noun
구매,구매,구매,Noun
대행,대행,대행,Noun
",",",",",",Punctuation
중국,중국,중국,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
중국,중국,중국,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
지,지,지,Josa
주소,주소,주소,Noun
주소,주소,주소,Noun
山东省,山东省,山东省,Foreign
威海市,威海市,威海市,Foreign
环翠区,环翠区,环翠区,Foreign
凤林街道,凤林街道,凤林街道,Foreign
国泰路,国泰路,国泰路,Foreign
107-10,107-10,107-10,Number
号,号,号,Foreign
5,5,5,Number
号库趣星,号库趣星,号库趣星,Foreign
QS,QS,QS,Alpha
사서함,사서함,사서함,Noun
번호,번호,번호,Noun
연락처,연락처,연락처,Noun
18663124125,18663124125,18663124125,Number
우편번호,우편번호,우편번호,Noun
264200,264200,264200,Number
수취,수취,수취,Noun
인명,인명,인명,Noun
趣星,趣星,趣星,Foreign
QS,QS,QS,Alpha
개인,개인,개인,Noun
사서함,사서함,사서함,Noun
이름,이름,이름,Noun
아이디,아이디,아이디,Noun
개인,개인,개인,Noun
사서함,사서함,사서함,Noun
예치,예치,예치,Noun
금,금,금,Noun
잔액,잔액,잔액,Noun
0.00,0.00,0.00,Number
충전,충전,충전,Noun
하기,하기,하다,Verb
구매,구매,구매,Noun
대행,대행,대행,Noun
구매,구매,구매,Noun
대행,대행,대행,Noun
신청,신청,신청,Noun
하기,하기,하다,Verb
구매,구매,구매,Noun
대행,대행,대행,Noun
신청,신청,신청,Noun
방법,방법,방법,Noun
엑셀,엑셀,엑셀,Noun
대량,대량,대량,Noun
등록,등록,등록,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
신청,신청,신청,Noun
하기,하기,하다,Verb
배송,배송,배송,Noun
센터,센터,센터,Noun
주소,주소,주소,Noun
연락처,연락처,연락처,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
신청,신청,신청,Noun
방법,방법,방법,Noun
엑셀,엑셀,엑셀,Noun
대량,대량,대량,Noun
등록,등록,등록,Noun
LCL,LCL,LCL,Alpha
구매,구매,구매,Noun
대행,대행,대행,Noun
LCL,LCL,LCL,Alpha
구매,구매,구매,Noun
대행,대행,대행,Noun
LCL,LCL,LCL,Alpha
엑셀,엑셀,엑셀,Noun
배송,배송,배송,Noun
대행,대행,대행,Noun
LCL,LCL,LCL,Alpha
배송,배송,배송,Noun
대행,대행,대행,Noun
LCL,LCL,LCL,Alpha
엑셀,엑셀,엑셀,Noun
재고,재고,재고,Noun
관리,관리,관리,Noun
재고,재고,재고,Noun
신청,신청,신청,Noun
