surface,normalized,dictionary,pos
회원,회원,회원,Noun
가입,가입,가입,Noun
약관,약관,약관,Noun
뉴질랜드,뉴질랜드,뉴질랜드,Noun
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
뉴질랜드,뉴질랜드,뉴질랜드,Noun
교민,교민,교민,Noun
위,위,위,Noun
한,한,한,Josa
커뮤니티,커뮤니티,커뮤니티,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
약관,약관,약관,Noun
뉴질랜드,뉴질랜드,뉴질랜드,Noun
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
뉴질랜드,뉴질랜드,뉴질랜드,Noun
교민,교민,교민,Noun
위,위,위,Noun
한,한,한,Josa
커뮤니티,커뮤니티,커뮤니티,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
",",",",",",Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
",",",",",",Punctuation
프로모션,프로모션,프로모션,Noun
안내,안내,안내,Noun
메일,메일,메일,Noun
수신,수신,수신,Noun
선택,선택,선택,Noun
동의,동의,동의,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
동의,동의,동의,Noun
필수,필수,필수,Noun
Terms,Terms,Terms,Alpha
of,of,of,Alpha
Use,Use,Use,Alpha
1,1,1,Number
장,장,장,Noun
총,총,총,Noun
칙,칙,칙,Noun
1,1,1,Number
조,조,조,Noun
목적,목적,목적,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
이하,이하,이하,Noun
약관,약관,약관,Noun
은,은,은,Noun
Ggachi,Ggachi,Ggachi,Alpha
Business,Business,Business,Alpha
Agency,Agency,Agency,Alpha
LTD,LTD,LTD,Alpha
이하,이하,이하,Noun
회사,회사,회사,Noun
라,라,라,Josa
합니다,합니다,하다,Verb
이용,이용,이용,Noun
고객,고객,고객,Noun
이하,이하,이하,Noun
회원,회원,회원,Noun
간,간,간,Noun
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
뉴질랜드,뉴질랜드,뉴질랜드,Noun
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
서비스,서비스,서비스,Noun
가입,가입,가입,Noun
조건,조건,조건,Noun
이용,이용,이용,Noun
관,관,관,Noun
한,한,한,Josa
제반,제반,제반,Noun
사항,사항,사항,Noun
필요한,필요한,필요하다,Adjective
사항,사항,사항,Noun
구체,구체,구체,Noun
적,적,적,Suffix
규정,규정,규정,Noun
함,함,함,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
웹사이트,웹사이트,웹사이트,Noun
방문,방문,방문,Noun
하시는,하시는,하다,Verb
모든,모든,모든,Noun
방문자,방문자,방문자,Noun
은,은,은,Josa
이용,이용,이용,Noun
약관,약관,약관,Noun
준수,준수,준수,Noun
하며,하며,하다,Verb
이용,이용,이용,Noun
약관,약관,약관,Noun
동의,동의,동의,Noun
하지,하지,하다,Verb
않을,않을,않다,Verb
경우,경우,경우,Noun
웹사이트,웹사이트,웹사이트,Noun
이용,이용,이용,Noun
중단,중단,중단,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
조,조,조,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
효력,효력,효력,Noun
변경,변경,변경,Noun
약관,약관,약관,Noun
은,은,은,Josa
코리아,코리아,코리아,Noun
포스트,포스트,포스트,Noun
웹사이트,웹사이트,웹사이트,Noun
www.nzkoreapost.com,www.nzkoreapost.com,www.nzkoreapost.com,URL
이하,이하,이하,Noun
KP,KP,KP,Alpha
웹,웹,웹,Noun
공,공,공,Modifier
지,지,지,Modifier
함,함,함,Noun
동시,동시,동시,Noun
효력,효력,효력,Noun
발생,발생,발생,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
이용,이용,이용,Noun
약관,약관,약관,Noun
은,은,은,Josa
회사,회사,회사,Noun
운영,운영,운영,Noun
원칙,원칙,원칙,Noun
사전,사전,사전,Noun
공지,공지,공지,Noun
없이,없이,없이,Adverb
