surface,normalized,dictionary,pos
이슈,이슈,이슈,Noun
세상,세상,세상,Noun
모든,모든,모든,Noun
이슈,이슈,이슈,Noun
이슈,이슈,이슈,Noun
세상,세상,세상,Noun
모든,모든,모든,Noun
이슈,이슈,이슈,Noun
이슈,이슈,이슈,Noun
YA,YA,YA,Alpha
커뮤니티,커뮤니티,커뮤니티,Noun
익명,익명,익명,Noun
자유,자유,자유,Noun
주식,주식,주식,Noun
영화,영화,영화,Noun
댕댕,댕댕,댕댕,Noun
냥,냥,냥,Noun
냥,냥,냥,Josa
인터넷,인터넷,인터넷,Noun
방송,방송,방송,Noun
LOL,LOL,LOL,Alpha
갤러리,갤러리,갤러리,Noun
연예,연예,연예,Noun
BJ,BJ,BJ,Alpha
캠,캠,캠,Noun
스트리머,스트리머,스트리머,Noun
유튜버,유튜버,유튜버,Noun
후방,후방,후방,Noun
운세,운세,운세,Noun
오늘,오늘,오늘,Noun
숏,숏,숏,Noun
핫딜,핫딜,핫딜,Noun
특,특,특,Noun
핫딜,핫딜,핫딜,Noun
특,특,특,Noun
출석,출석,출석,Noun
부,부,부,Noun
회원,회원,회원,Noun
랭킹,랭킹,랭킹,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
이벤트,이벤트,이벤트,Noun
문의사항,문의사항,문의사항,Noun
개선,개선,개선,Noun
요청,요청,요청,Noun
로그인,로그인,로그인,Noun
로그인,로그인,로그인,Noun
아이디,아이디,아이디,Noun
비밀번호,비밀번호,비밀번호,Noun
로그인,로그인,로그인,Noun
상태,상태,상태,Noun
유지,유지,유지,Noun
ID,ID,ID,Alpha
PW,PW,PW,Alpha
찾기,찾기,찾기,Noun
로그인,로그인,로그인,Noun
소셜,소셜,소셜,Noun
계정,계정,계정,Noun
로그인,로그인,로그인,Noun
네이버,네이버,네이버,Noun
로그인,로그인,로그인,Noun
카카오,카카오,카카오,Noun
로그인,로그인,로그인,Noun
아직,아직,아직,Adverb
회원,회원,회원,Noun
아니신,아니신,아니다,Adjective
가요,가요,가요,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
하기,하기,하다,Verb
정보,정보,정보,Noun
찾기,찾기,찾기,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
회원,회원,회원,Noun
입하세요,입하세요,이다,Adjective
이슈,이슈,이슈,Noun
YA,YA,YA,Alpha
커뮤니티,커뮤니티,커뮤니티,Noun
익명,익명,익명,Noun
자유,자유,자유,Noun
주식,주식,주식,Noun
영화,영화,영화,Noun
댕댕,댕댕,댕댕,Noun
냥,냥,냥,Noun
냥,냥,냥,Josa
인터넷,인터넷,인터넷,Noun
방송,방송,방송,Noun
LOL,LOL,LOL,Alpha
갤러리,갤러리,갤러리,Noun
연예,연예,연예,Noun
BJ,BJ,BJ,Alpha
캠,캠,캠,Noun
스트리머,스트리머,스트리머,Noun
유튜버,유튜버,유튜버,Noun
후방,후방,후방,Noun
운세,운세,운세,Noun
오늘,오늘,오늘,Noun
숏,숏,숏,Noun
핫딜,핫딜,핫딜,Noun
특,특,특,Noun
핫딜,핫딜,핫딜,Noun
특,특,특,Noun
출석,출석,출석,Noun
부,부,부,Noun
회원,회원,회원,Noun
랭킹,랭킹,랭킹,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
이벤트,이벤트,이벤트,Noun
문의사항,문의사항,문의사항,Noun
개선,개선,개선,Noun
요청,요청,요청,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
1조,1조,1조,Number
총칙,총칙,총칙,Noun
본,본,보다,Verb
사이트,사이트,사이트,Noun
는,는,는,Josa
귀하,귀하,귀하,Noun
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
매우,매우,매우,Noun
중요시,중요시,중요시,Noun
하며,하며,하다,Verb
",",",",",",Punctuation
『,『,『,Foreign
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
』,』,』,Foreign
상의,상의,상의,Noun
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
규정,규정,규정,Noun
정보통신부,정보통신부,정보통신부,Noun
제정,제정,제정,Noun
한,한,한,Josa
『,『,『,Foreign
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
지침,지침,지침,Noun
』,』,』,Foreign
준수,준수,준수,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
본,본,보다,Verb
사이트,사이트,사이트,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
방침,방침,방침,Noun
통,통,통,Noun
하여,하여,하다,Verb
귀하,귀하,귀하,Noun
께서,께서,께서,Josa
제공,제공,제공,Noun
하시는,하시는,하다,Verb
개인정보,개인정보,개인정보,Noun
용도,용도,용도,Noun
방식,방식,방식,Noun
이용,이용,이용,Noun
되고,되고,되다,Verb
있으며,있으며,있다,Adjective
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
위해,위해,위해,Noun
조치,조치,조치,Noun
취,취,취,Noun
해지고,해지고,하다,Verb
있는지,있는지,있다,Adjective
알려,알려,알다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
본,본,보다,Verb
사이트,사이트,사이트,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
방침,방침,방침,Noun
홈페이지,홈페이지,홈페이지,Noun
첫,첫,첫,Noun
화면,화면,화면,Noun
하단,하단,하단,Noun
공개,공개,공개,Noun
함,함,함,Noun
귀하,귀하,귀하,Noun
께서,께서,께서,Josa
언제나,언제나,언제나,Adverb
용이하게,용이하게,용이하다,Adjective
보실,보실,보다,Verb
수,수,수,Noun
있도록,있도록,있다,Adjective
조치,조치,조치,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
본,본,보다,Verb
사이트,사이트,사이트,Noun
는,는,는,Josa
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
개정,개정,개정,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
웹사이트,웹사이트,웹사이트,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
또는,또는,또는,Adverb
개별,개별,개별,Noun
공지,공지,공지,Noun
통,통,통,Noun
하여,하여,하다,Verb
공지,공지,공지,Noun
할,할,하다,Verb
입니다,입니다,이다,Adjective
.,.,.,Punctuation
2조,2조,2조,Number
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
대한,대한,대한,Noun
동의,동의,동의,Noun
귀하,귀하,귀하,Noun
께서,께서,께서,Josa
본,본,보다,Verb
사이트,사이트,사이트,Noun
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
방침,방침,방침,Noun
또는,또는,또는,Adverb
이용,이용,이용,Noun
약관,약관,약관,Noun
내용,내용,내용,Noun
대해,대해,대해,Noun
「,「,「,Foreign
동의,동의,동의,Noun
한다,한다,하다,Verb
」,」,」,Foreign
버튼,버튼,버튼,Noun
또는,또는,또는,Adverb
「,「,「,Foreign
동의,동의,동의,Noun
하지,하지,하다,Verb
않는다,않는다,않다,Verb
」,」,」,Foreign
버튼,버튼,버튼,Noun
클릭,클릭,클릭,Noun
할,할,하다,Verb
수,수,수,Noun
있는,있는,있다,Adjective
절차,절차,절차,Noun
마련,마련,마련,Noun
하여,하여,하다,Verb
",",",",",",Punctuation
「,「,「,Foreign
동의,동의,동의,Noun
한다,한다,하다,Verb
」,」,」,Foreign
버튼,버튼,버튼,Noun
클릭,클릭,클릭,Noun
하면,하면,하다,Verb
