surface,normalized,dictionary,pos
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
매체,매체,매체,Noun
소개,소개,소개,Noun
CEO,CEO,CEO,Alpha
인사말,인사말,인사말,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
는,는,는,Josa
조직,조직,조직,Noun
도,도,도,Josa
연혁,연혁,연혁,Noun
주소,주소,주소,Noun
약도,약도,약도,Noun
CI,CI,CI,Alpha
가이드북,가이드북,가이드북,Noun
SITE,SITE,SITE,Alpha
MAP,MAP,MAP,Alpha
약관,약관,약관,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
이메일,이메일,이메일,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
윤리,윤리,윤리,Noun
강령,강령,강령,Noun
자정,자정,자정,Noun
선언문,선언문,선언문,Noun
고충,고충,고충,Noun
처리,처리,처리,Noun
인재,인재,인재,Noun
채용,채용,채용,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
매체,매체,매체,Noun
소개,소개,소개,Noun
CEO,CEO,CEO,Alpha
인사말,인사말,인사말,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
는,는,는,Josa
조직,조직,조직,Noun
도,도,도,Josa
연혁,연혁,연혁,Noun
주소,주소,주소,Noun
약도,약도,약도,Noun
CI,CI,CI,Alpha
가이드북,가이드북,가이드북,Noun
SITE,SITE,SITE,Alpha
MAP,MAP,MAP,Alpha
약관,약관,약관,Noun
정책,정책,정책,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
이메일,이메일,이메일,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
윤리,윤리,윤리,Noun
강령,강령,강령,Noun
자정,자정,자정,Noun
선언문,선언문,선언문,Noun
고충,고충,고충,Noun
처리,처리,처리,Noun
인재,인재,인재,Noun
채용,채용,채용,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
홈,홈,홈,Noun
약관,약관,약관,Noun
정책,정책,정책,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
주,주,주,Noun
뉴스,뉴스,뉴스,Noun
웨이,웨이,웨이,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
라,라,라,Josa
함,함,함,Noun
는,는,늘다,Verb
청소년,청소년,청소년,Noun
유해한,유해한,유해하다,Adjective
정보,정보,정보,Noun
보호,보호,보호,Noun
받고,받고,받다,Verb
건전한,건전한,건전하다,Adjective
인터넷,인터넷,인터넷,Noun
사용,사용,사용,Noun
할,할,하다,Verb
수,수,수,Noun
있도록,있도록,있다,Adjective
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
수립,수립,수립,Noun
",",",",",",Punctuation
시행,시행,시행,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
관련,관련,관련,Noun
법률,법률,법률,Noun
청소년,청소년,청소년,Noun
유해한,유해한,유해하다,Adjective
정보,정보,정보,Noun
접근,접근,접근,Noun
할,할,하다,Verb
수,수,수,Noun
없도록,없도록,없다,Adjective
방지,방지,방지,Noun
하고,하고,하고,Josa
있으며,있으며,있다,Adjective
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
위해,위해,위해,Noun
아래,아래,아래,Noun
같은,같은,같다,Adjective
조치,조치,조치,Noun
취하,취하,취하,Noun
고,고,고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
유해,유해,유해,Noun
정보,정보,정보,Noun
대한,대한,대한,Noun
청소년,청소년,청소년,Noun
접근,접근,접근,Noun
제한,제한,제한,Noun
관리,관리,관리,Noun
조치,조치,조치,Noun
