surface,normalized,dictionary,pos
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
메인,메인,메인,Noun
메뉴,메뉴,메뉴,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
열기,열기,열기,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
Always,Always,Always,Alpha
with,with,with,Alpha
you,you,you,Alpha
JPS,JPS,JPS,Alpha
",",",",",",Punctuation
언제나,언제나,언제나,Adverb
곁,곁,곁,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
﻿,﻿,﻿,Foreign
기계,기계,기계,Noun
경비,경비,경비,Noun
인력,인력,인력,Noun
경비,경비,경비,Noun
CCTV,CCTV,CCTV,Alpha
",",",",",",Punctuation
GATE,GATE,GATE,Alpha
정보통,정보통,정보통,Noun
신,신,신,Modifier
공사,공사,공사,Noun
청소용역,청소용역,청소용역,Noun
서비스,서비스,서비스,Noun
토탈,토탈,토탈,Noun
아웃소싱,아웃소싱,아웃소싱,Noun
기계,기계,기계,Noun
경비,경비,경비,Noun
고객,고객,고객,Noun
님,님,님,Suffix
께,께,께,Josa
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
해,해,하다,Verb
드릴,드릴,드릴,Noun
관제,관제,관제,Noun
센터,센터,센터,Noun
사업,사업,사업,Noun
장,장,장,Suffix
은,은,은,Josa
같습니다,같습니다,같다,Adjective
.,.,.,Punctuation
구분,구분,구분,Noun
명칭,명칭,명칭,Noun
소재지,소재지,소재지,Noun
관제,관제,관제,Noun
센터,센터,센터,Noun
□,□,□,Foreign
대구,대구,대구,Noun
통합,통합,통합,Noun
관제,관제,관제,Noun
센터,센터,센터,Noun
대구광역시,대구광역시,대구광역시,Noun
동구,동구,동구,Noun
송라,송라,송라,Noun
66,66,66,Number
대구,대구,대구,Noun
본사,본사,본사,Noun
□,□,□,Foreign
주,주,주,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
대구광역시,대구광역시,대구광역시,Noun
동구,동구,동구,Noun
송라,송라,송라,Noun
66,66,66,Number
고령,고령,고령,Noun
지사,지사,지사,Noun
경상북도,경상북도,경상북도,Noun
고령군,고령군,고령군,Noun
다사면,다사면,다사면,Noun
문,문,문,Modifier
나루,나루,나루,Noun
길,길,길,Noun
12,12,12,Number
운용체계,운용체계,운용체계,Noun
1,1,1,Number
.,.,.,Punctuation
출동,출동,출동,Noun
서비스,서비스,서비스,Noun
는,는,는,Josa
이렇게,이렇게,이렇게,Adverb
이루어,이루어,이루다,Verb
집니다,집니다,지다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
경비,경비,경비,Noun
기기,기기,기기,Noun
는,는,는,Josa
같은,같은,같다,Adjective
기능,기능,기능,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
구분,구분,구분,Noun
명칭,명칭,명칭,Noun
구분,구분,구분,Noun
명칭,명칭,명칭,Noun
메인,메인,메인,Noun
컨트롤러,컨트롤러,컨트롤러,Noun
신호,신호,신호,Noun
관제,관제,관제,Noun
센터,센터,센터,Noun
전송,전송,전송,Noun
금고,금고,금고,Noun
감지기,감지기,감지기,Noun
금고,금고,금고,Noun
열림,열림,열리다,Verb
파손,파손,파손,Noun
시,시,시,Noun
진동,진동,진동,Noun
감지,감지,감지,Noun
