surface,normalized,dictionary,pos
NO,NO,NO,Alpha
1,1,1,Number
글로벌,글로벌,글로벌,Noun
컨텐츠,컨텐츠,컨텐츠,Noun
서비스,서비스,서비스,Noun
한인,한인,한인,Noun
디스크,디스크,디스크,Noun
처리,처리,처리,Noun
중,중,중,Suffix
입니다,입니다,이다,Adjective
시작,시작,시작,Noun
페이지,페이지,페이지,Noun
설정,설정,설정,Noun
즐겨찾기,즐겨찾기,즐겨찾기,Noun
추가,추가,추가,Noun
전체,전체,전체,Noun
전체,전체,전체,Noun
방영,방영,방영,Noun
중,중,중,Suffix
TV,TV,TV,Alpha
종영,종영,종영,Noun
TV,TV,TV,Alpha
영화,영화,영화,Noun
음악,음악,음악,Noun
애니,애니,애니,Noun
게임,게임,게임,Noun
유틸,유틸,유틸,Noun
만화,만화,만화,Noun
유아,유아,유아,Noun
학습,학습,학습,Noun
도서,도서,도서,Noun
강좌,강좌,강좌,Noun
전체,전체,전체,Noun
방영,방영,방영,Noun
중,중,중,Suffix
TV,TV,TV,Alpha
종영,종영,종영,Noun
TV,TV,TV,Alpha
음악,음악,음악,Noun
애니,애니,애니,Noun
게임,게임,게임,Noun
유틸,유틸,유틸,Noun
만화,만화,만화,Noun
유아,유아,유아,Noun
학습,학습,학습,Noun
도서,도서,도서,Noun
강좌,강좌,강좌,Noun
한국,한국,한국,Noun
드라마,드라마,드라마,Noun
한국,한국,한국,Noun
쇼,쇼,쇼,Noun
오락,오락,오락,Noun
종합,종합,종합,Noun
편성,편성,편성,Noun
시사,시사,시사,Noun
",",",",",",Punctuation
다큐,다큐,다큐,Noun
스포츠,스포츠,스포츠,Noun
게임,게임,게임,Noun
방송,방송,방송,Noun
해외,해외,해외,Noun
드라마,드라마,드라마,Noun
해외,해외,해외,Noun
쇼,쇼,쇼,Noun
오락,오락,오락,Noun
용량,용량,용량,Noun
한국,한국,한국,Noun
드라마,드라마,드라마,Noun
한국,한국,한국,Noun
쇼,쇼,쇼,Noun
오락,오락,오락,Noun
시사,시사,시사,Noun
",",",",",",Punctuation
다큐,다큐,다큐,Noun
해외,해외,해외,Noun
드라마,드라마,드라마,Noun
최신,최신,최신,Noun
해외,해외,해외,Noun
최신,최신,최신,Noun
한국,한국,한국,Noun
블루레이,블루레이,블루레이,Noun
",",",",",",Punctuation
3,3,3,Number
D,D,D,Alpha
고전,고전,고전,Noun
",",",",",",Punctuation
명작,명작,명작,Noun
지난,지난,지난,Modifier
해외,해외,해외,Noun
지난,지난,지난,Modifier
한국,한국,한국,Noun
최신,최신,최신,Noun
차트,차트,차트,Noun
국내,국내,국내,Noun
음악,음악,음악,Noun
해외,해외,해외,Noun
음악,음악,음악,Noun
뮤직비디오,뮤직비디오,뮤직비디오,Noun
OST,OST,OST,Alpha
",",",",",",Punctuation
콘서트,콘서트,콘서트,Noun
클래식,클래식,클래식,Noun
TV,TV,TV,Alpha
방영,방영,방영,Noun
신작,신작,신작,Noun
TV,TV,TV,Alpha
완결,완결,완결,Noun
시리즈,시리즈,시리즈,Noun
극장판,극장판,극장판,Noun
",",",",",",Punctuation
OVA,OVA,OVA,Alpha
",",",",",",Punctuation
액션,액션,액션,Noun
",",",",",",Punctuation
어드벤처,어드벤처,어드벤처,Noun
전략,전략,전략,Noun
",",",",",",Punctuation
시뮬,시뮬,시뮬,Noun
롤플레잉,롤플레잉,롤플레잉,Noun
일반,일반,일반,Noun
미연시,미연시,미연시,Noun
스포츠,스포츠,스포츠,Noun
",",",",",",Punctuation
레이싱,레이싱,레이싱,Noun
에뮬,에뮬,에뮬,Noun
운영체제,운영체제,운영체제,Noun
",",",",",",Punctuation
백신,백신,백신,Noun
워드,워드,워드,Noun
",",",",",",Punctuation
