surface,normalized,dictionary,pos
NHN,NHN,NHN,Alpha
KCP,KCP,KCP,Alpha
서비스,서비스,서비스,Noun
알아보기,알아보기,알아보다,Verb
간편,간편,간편,Noun
신청,신청,신청,Noun
하기,하기,하다,Verb
연동,연동,연동,Noun
하기,하기,하다,Verb
신청,신청,신청,Noun
현황,현황,현황,Noun
조회,조회,조회,Noun
결제,결제,결제,Noun
내,내,내,Determiner
역,역,역,Noun
조회,조회,조회,Noun
금융,금융,금융,Noun
거래,거래,거래,Noun
기본,기본,기본,Noun
약관,약관,약관,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
인,인,인,Josa
NHN,NHN,NHN,Alpha
KCP,KCP,KCP,Alpha
이용자,이용자,이용자,Noun
사이,사이,사이,Noun
안정,안정,안정,Noun
성,성,성,Suffix
신뢰,신뢰,신뢰,Noun
성,성,성,Suffix
확보,확보,확보,Noun
위,위,위,Noun
한,한,한,Josa
표준,표준,표준,Noun
약관,약관,약관,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
1,1,1,Number
조,조,조,Noun
목적,목적,목적,Noun
2,2,2,Number
조,조,조,Noun
용어,용어,용어,Noun
정의,정의,정의,Noun
3,3,3,Number
조,조,조,Noun
약관,약관,약관,Noun
명시,명시,명시,Noun
변경,변경,변경,Noun
4,4,4,Number
조,조,조,Noun
전,전,전,Modifier
자지,자지,자지,Noun
급,급,급,Suffix
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
종류,종류,종류,Noun
5,5,5,Number
조,조,조,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
서비스,서비스,서비스,Noun
내용,내용,내용,Noun
6,6,6,Number
조,조,조,Noun
이용,이용,이용,Noun
7,7,7,Number
조,조,조,Noun
접근,접근,접근,Noun
매체,매체,매체,Noun
선정,선정,선정,Noun
사용,사용,사용,Noun
관리,관리,관리,Noun
8,8,8,Number
조,조,조,Noun
거래,거래,거래,Noun
내용,내용,내용,Noun
확인,확인,확인,Noun
9,9,9,Number
조,조,조,Noun
오류,오류,오류,Noun
정정,정정,정정,Noun
10,10,10,Number
조,조,조,Noun
가맹,가맹,가맹,Noun
점,점,점,Noun
준수,준수,준수,Noun
사항,사항,사항,Noun
11,11,11,Number
조,조,조,Noun
가맹,가맹,가맹,Noun
점,점,점,Noun
모집,모집,모집,Noun
12,12,12,Number
조,조,조,Noun
회사,회사,회사,Noun
책임,책임,책임,Noun
13,13,13,Number
조,조,조,Noun
전,전,전,Modifier
자지,자지,자지,Noun
급,급,급,Suffix
거래,거래,거래,Noun
계약,계약,계약,Noun
효력,효력,효력,Noun
14,14,14,Number
조,조,조,Noun
거래,거래,거래,Noun
지시,지시,지시,Noun
철회,철회,철회,Noun
15,15,15,Number
조,조,조,Noun
지급,지급,지급,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
기록,기록,기록,Noun
생,생,생,Noun
성,성,성,Suffix
보존,보존,보존,Noun
16,16,16,Number
조,조,조,Noun
금융,금융,금융,Noun
거래,거래,거래,Noun
정보,정보,정보,Noun
제공,제공,제공,Noun
금지,금지,금지,Noun
17,17,17,Number
조,조,조,Noun
계약해지,계약해지,계약해지,Noun
이용,이용,이용,Noun
제한,제한,제한,Noun
18,18,18,Number
조,조,조,Noun
분쟁,분쟁,분쟁,Noun
처리,처리,처리,Noun
분쟁,분쟁,분쟁,Noun
조정,조정,조정,Noun
19,19,19,Number
조,조,조,Noun
회사,회사,회사,Noun
안정,안정,안정,Noun
성,성,성,Suffix
확보,확보,확보,Noun
의무,의무,의무,Noun
20,20,20,Number
조,조,조,Noun
약관,약관,약관,Noun
외,외,외,Noun
준칙,준칙,준칙,Noun
관할,관할,관할,Noun
1,1,1,Number
조,조,조,Noun
목적,목적,목적,Noun
약관,약관,약관,Noun
은,은,은,Josa
엔에이치엔,엔에이치엔,엔에이치엔,Noun
케이,케이,케이,Noun
씨,씨,씨,Suffix
피,피,피,Noun
주식회사,주식회사,주식회사,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
라,라,라,Josa
합니다,합니다,하다,Verb
제공,제공,제공,Noun
하는,하는,하다,Verb
지급,지급,지급,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
서비스,서비스,서비스,Noun
이용자,이용자,이용자,Noun
이용,이용,이용,Noun
함,함,함,Noun
있어,있어,있다,Adjective
회사,회사,회사,Noun
이용자,이용자,이용자,Noun
사이,사이,사이,Noun
금융,금융,금융,Noun
거래,거래,거래,Noun
관,관,관,Noun
한,한,한,Josa
기본,기본,기본,Noun
적,적,적,Suffix
인,인,인,Josa
사항,사항,사항,Noun
정함,정함,정함,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
조,조,조,Noun
용어,용어,용어,Noun
정의,정의,정의,Noun
약관,약관,약관,Noun
정,정,정,Noun
하는,하는,하다,Verb
용어,용어,용어,Noun
정의,정의,정의,Noun
는,는,는,Josa
같습니다,같습니다,같다,Adjective
.,.,.,Punctuation
금융,금융,금융,Noun
거래,거래,거래,Noun
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
회사,회사,회사,Noun
적,적,적,Suffix
장치,장치,장치,Noun
통,통,통,Noun
하여,하여,하다,Verb
지급,지급,지급,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
서비스,서비스,서비스,Noun
이하,이하,이하,Noun
금융,금융,금융,Noun
거래,거래,거래,Noun
서비스,서비스,서비스,Noun
라고,라고,라고,Josa
합니다,합니다,하다,Verb
제공,제공,제공,Noun
하고,하고,하고,Josa
",",",",",",Punctuation
이용자,이용자,이용자,Noun
회사,회사,회사,Noun
종사,종사,종사,Noun
직접,직접,직접,Noun
대면하거나,대면하거나,대다,Verb
의사소통,의사소통,의사소통,Noun
하지,하지,하다,Verb
아니하고,아니하고,아니다,Adjective
자동화,자동화,자동화,Noun
된,된,되다,Verb
방식,방식,방식,Noun
이를,이를,이르다,Verb
이용,이용,이용,Noun
하는,하는,하다,Verb
거래,거래,거래,Noun
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
지급,지급,지급,Noun
결제,결제,결제,Noun
대행,대행,대행,Noun
서비스,서비스,서비스,Noun
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
적,적,적,Suffix
방법,방법,방법,Noun
재화,재화,재화,Noun
구입,구입,구입,Noun
또는,또는,또는,Adverb
용역,용역,용역,Noun
이용,이용,이용,Noun
있어서,있어서,있다,Adjective
지급,지급,지급,Noun
결제,결제,결제,Noun
정보,정보,정보,Noun
송신,송신,송신,Noun
거나,거나,거나,Noun
수신,수신,수신,Noun
하는,하는,하다,Verb
또는,또는,또는,Adverb
대가,대가,대가,Noun
정산,정산,정산,Noun
대행,대행,대행,Noun
거나,거나,거나,Noun
매개,매개,매개,Noun
하는,하는,하다,Verb
서비스,서비스,서비스,Noun
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
서비스,서비스,서비스,Noun
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
이용자,이용자,이용자,Noun
재화,재화,재화,Noun
구입,구입,구입,Noun
또는,또는,또는,Adverb
용역,용역,용역,Noun
이용,이용,이용,Noun
있어서,있어서,있다,Adjective
대가,대가,대가,Noun
이하,이하,이하,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
이라,이라,이르다,Verb
한다,한다,하다,Verb
또는,또는,또는,Adverb
일부,일부,일부,Noun
재화,재화,재화,Noun
또는,또는,또는,Adverb
용역,용역,용역,Noun
이하,이하,이하,Noun
재화,재화,재화,Noun
이라,이라,이르다,Verb
합니다,합니다,하다,Verb
공급,공급,공급,Noun
받기,받기,받다,Verb
전,전,전,Noun
미리,미리,미리,Noun
지급,지급,지급,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
",",",",",",Punctuation
회사,회사,회사,Noun
이용자,이용자,이용자,Noun
물품,물품,물품,Noun
수령,수령,수령,Noun
또는,또는,또는,Adverb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
확인,확인,확인,Noun
시점,시점,시점,Noun
결제,결제,결제,Noun
대금,대금,대금,Noun
예치,예치,예치,Noun
하는,하는,하다,Verb
서비스,서비스,서비스,Noun
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
가맹,가맹,가맹,Noun
점,점,점,Noun
이라,이라,이르다,Verb
함,함,함,Noun
은,은,은,Josa
금융기관,금융기관,금융기관,Noun
또는,또는,또는,Adverb
전자금융업,전자금융업,전자금융업,Noun
와의,와의,와의,Josa
계약,계약,계약,Noun
직,직,직,Noun
불전,불전,불전,Noun
지급,지급,지급,Noun
수단,수단,수단,Noun
이나,이나,이나,Josa
선불,선불,선불,Noun
지급,지급,지급,Noun
수단,수단,수단,Noun
또는,또는,또는,Adverb
전자화폐,전자화폐,전자화폐,Noun
의한,의한,의하다,Adjective
거래,거래,거래,Noun
있어서,있어서,있다,Adjective
이용자,이용자,이용자,Noun
재화,재화,재화,Noun
또는,또는,또는,Adverb
용역,용역,용역,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
자로,자로,자로,Noun
서,서,서,Josa
금융기관,금융기관,금융기관,Noun
또는,또는,또는,Adverb
전자금융업,전자금융업,전자금융업,Noun
아닌,아닌,아니다,Adjective
자를,자를,자르다,Verb
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
이용자,이용자,이용자,Noun
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
약관,약관,약관,Noun
동의,동의,동의,Noun
하고,하고,하고,Josa
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
금융,금융,금융,Noun
거래,거래,거래,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
하는,하는,하다,Verb
자를,자를,자르다,Verb
말,말,말,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
접근,접근,접근,Noun
매체,매체,매체,Noun
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
금융,금융,금융,Noun
거래,거래,거래,Noun
있어서,있어서,있다,Adjective
거래,거래,거래,Noun
지시,지시,지시,Noun
거나,거나,거나,Noun
이용자,이용자,이용자,Noun
거래,거래,거래,Noun
내용,내용,내용,Noun
진실성,진실성,진실성,Noun
정확성,정확성,정확성,Noun
확보,확보,확보,Noun
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
사용,사용,사용,Noun
되는,되는,되다,Verb
수단,수단,수단,Noun
또는,또는,또는,Adverb
정보,정보,정보,Noun
