surface,normalized,dictionary,pos
드림위즈,드림위즈,드림위즈,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
유료,유료,유료,Noun
서비스,서비스,서비스,Noun
약관,약관,약관,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
스팸,스팸,스팸,Noun
관리,관리,관리,Noun
정책,정책,정책,Noun
책임,책임,책임,Noun
한계,한계,한계,Noun
법적,법적,법적,Noun
고지,고지,고지,Noun
이메일,이메일,이메일,Noun
주소,주소,주소,Noun
무단,무단,무단,Noun
수집,수집,수집,Noun
거부,거부,거부,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
드림위즈,드림위즈,드림위즈,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
시행일,시행일,시행일,Noun
2013년,2013년,2013년,Number
11월,11월,11월,Number
25일,25일,25일,Number
주,주,주,Noun
드림위즈,드림위즈,드림위즈,Noun
인터넷,인터넷,인터넷,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
또는,또는,또는,Adverb
드림위즈,드림위즈,드림위즈,Noun
은,은,은,Noun
청소년,청소년,청소년,Noun
건전한,건전한,건전하다,Adjective
인격,인격,인격,Noun
체,체,체,Noun
성장할,성장할,성장하다,Adjective
수,수,수,Noun
있도록,있도록,있다,Adjective
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
법,법,법,Noun
근거,근거,근거,Noun
하여,하여,하다,Verb
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
수립,수립,수립,Noun
",",",",",",Punctuation
시행,시행,시행,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,늘다,Verb
방송통신,방송통신,방송통신,Noun
심의,심의,심의,Noun
위원회,위원회,위원회,Noun
정보,정보,정보,Noun
통신,통신,통신,Noun
관,관,관,Noun
한,한,한,Josa
심의,심의,심의,Noun
규정,규정,규정,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
법,법,법,Noun
상의,상의,상의,Noun
청소년,청소년,청소년,Noun
유해,유해,유해,Noun
매체,매체,매체,Noun
물,물,물,Noun
심의,심의,심의,Noun
기준,기준,기준,Noun
19,19,19,Number
세,세,세,Noun
미만,미만,미만,Noun
청소년,청소년,청소년,Noun
유해,유해,유해,Noun
정보,정보,정보,Noun
접근,접근,접근,Noun
할,할,하다,Verb
수,수,수,Noun
없도록,없도록,없다,Adjective
방지,방지,방지,Noun
하고,하고,하고,Josa
있는,있는,있다,Adjective
바,바,바,Noun
",",",",",",Punctuation
본,본,보다,Verb
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
정책,정책,정책,Noun
통,통,통,Noun
하여,하여,하다,Verb
회사,회사,회사,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
위해,위해,위해,Noun
조치,조치,조치,Noun
취하,취하,취하,Noun
고,고,고,Josa
있는지,있는지,있다,Adjective
알려,알려,알다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
유해,유해,유해,Noun
정보,정보,정보,Noun
대한,대한,대한,Noun
청소년,청소년,청소년,Noun
접근,접근,접근,Noun
제한,제한,제한,Noun
관리,관리,관리,Noun
조치,조치,조치,Noun
회사,회사,회사,Noun
는,는,늘다,Verb
청소년,청소년,청소년,Noun
아무런,아무런,아무렇다,Adjective
제한,제한,제한,Noun
장치,장치,장치,Noun
없이,없이,없이,Adverb
청소년,청소년,청소년,Noun
유해한,유해한,유해하다,Adjective
정보,정보,정보,Noun
노출,노출,노출,Noun
되지,되지,되다,Verb
않도록,않도록,않다,Verb
청소년,청소년,청소년,Noun
유해,유해,유해,Noun
매체,매체,매체,Noun
물,물,물,Noun
대하,대하,대하,Noun
는,는,는,Josa
별도,별도,별도,Noun
인증,인증,인증,Noun
장치,장치,장치,Noun
마련,마련,마련,Noun
",",",",",",Punctuation
적용,적용,적용,Noun
하여,하여,하다,Verb
청소년,청소년,청소년,Noun
유해,유해,유해,Noun
정보,정보,정보,Noun
노출,노출,노출,Noun
되지,되지,되다,Verb
않기,않기,않다,Verb
위,위,위,Noun
한,한,한,Josa
예방,예방,예방,Noun
차원,차원,차원,Noun
조치,조치,조치,Noun
강,강,강,Noun
구합,구합,구합,Noun
니,니,니,Noun
다,다,다,Josa
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
유해정,유해정,유해정,Noun
보로,보로,보로,Noun
부터의,부터의,부터의,Josa
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
위,위,위,Noun
한,한,한,Josa
업무,업무,업무,Noun
담당자,담당자,담당자,Noun
교육,교육,교육,Noun
시행,시행,시행,Noun
회사,회사,회사,Noun
는,는,늘다,Verb
정보,정보,정보,Noun
통신,통신,통신,Noun
업무,업무,업무,Noun
종사,종사,종사,Noun
대상,대상,대상,Noun
청소년,청소년,청소년,Noun
보호,보호,보호,Noun
관련,관련,관련,Noun
법령,법령,법령,Noun
제재,제재,제재,Noun
기준,기준,기준,Noun
",",",",",",Punctuation
유해,유해,유해,Noun
정보,정보,정보,Noun
발견,발견,발견,Noun
시,시,시,Noun
대처,대처,대처,Noun
방법,방법,방법,Noun
",",",",",",Punctuation
