surface,normalized,dictionary,pos
Privacy,Privacy,Privacy,Alpha
AVSUBS,AVSUBS,AVSUBS,Alpha
Privacy,Privacy,Privacy,Alpha
AVSUBS,AVSUBS,AVSUBS,Alpha
0,0,0,Number
아브섭몰,아브섭몰,아브섭몰,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
아브섭,아브섭,아브섭,Noun
탁탁,탁탁,탁탁,Noun
마켓,마켓,마켓,Noun
가입,가입,가입,Noun
인사,인사,인사,Noun
스포츠,스포츠,스포츠,Noun
토토,토토,토토,Noun
게시판,게시판,게시판,Noun
투표,투표,투표,Noun
게시판,게시판,게시판,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
출석,출석,출석,Noun
체크,체크,체크,Noun
자유게시판,자유게시판,자유게시판,Noun
AI,AI,AI,Alpha
게시판,게시판,게시판,Noun
질문,질문,질문,Noun
답변,답변,답변,Noun
정보,정보,정보,Noun
팁,팁,팁,Noun
제작,제작,제작,Noun
공간,공간,공간,Noun
작업,작업,작업,Noun
현황,현황,현황,Noun
제작,제작,제작,Noun
의뢰,의뢰,의뢰,Noun
쿠폰,쿠폰,쿠폰,Noun
외국어,외국어,외국어,Noun
자막,자막,자막,Noun
토론,토론,토론,Noun
강좌,강좌,강좌,Noun
포인트,포인트,포인트,Noun
의뢰,의뢰,의뢰,Noun
자막,자막,자막,Noun
",",",",",",Punctuation
표지,표지,표지,Noun
요청,요청,요청,Noun
게임,게임,게임,Noun
포인트,포인트,포인트,Noun
가위바위보,가위바위보,가위바위보,Noun
포인트,포인트,포인트,Noun
바카라,바카라,바카라,Noun
아브,아브,아브,Noun
포인트,포인트,포인트,Noun
섰다,섰다,서다,Verb
A,A,A,Alpha
아브,아브,아브,Noun
포인트,포인트,포인트,Noun
섰다,섰다,서다,Verb
B,B,B,Alpha
아브,아브,아브,Noun
포인트,포인트,포인트,Noun
슬롯,슬롯,슬롯,Noun
아브,아브,아브,Noun
포인트,포인트,포인트,Noun
홀짝,홀짝,홀짝,Noun
아브,아브,아브,Noun
포인트,포인트,포인트,Noun
토토,토토,토토,Noun
이벤트,이벤트,이벤트,Noun
경험치,경험치,경험치,Noun
교환,교환,교환,Noun
이벤트,이벤트,이벤트,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
1,1,1,Number
대,대,대다,Verb
1,1,1,Number
문의,문의,문의,Noun
오류,오류,오류,Noun
신고,신고,신고,Noun
아브섭몰,아브섭몰,아브섭몰,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
아브섭,아브섭,아브섭,Noun
탁탁,탁탁,탁탁,Noun
마켓,마켓,마켓,Noun
가입,가입,가입,Noun
인사,인사,인사,Noun
스포츠,스포츠,스포츠,Noun
토토,토토,토토,Noun
게시판,게시판,게시판,Noun
투표,투표,투표,Noun
게시판,게시판,게시판,Noun
공지,공지,공지,Noun
