surface,normalized,dictionary,pos
YTN,YTN,YTN,Alpha
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
규정,규정,규정,Noun
YTN,YTN,YTN,Alpha
와이티엔,와이티엔,와이티엔,Noun
와이티엔,와이티엔,와이티엔,Noun
소개,소개,소개,Noun
주요,주요,주요,Modifier
연혁,연혁,연혁,Noun
수상,수상,수상,Noun
내,내,내,Determiner
역,역,역,Noun
조직,조직,조직,Noun
현황,현황,현황,Noun
CI,CI,CI,Alpha
방송,방송,방송,Noun
플랫폼,플랫폼,플랫폼,Noun
방송,방송,방송,Noun
플랫폼,플랫폼,플랫폼,Noun
투자,투자,투자,Noun
정보,정보,정보,Noun
주가,주가,주가,Noun
정보,정보,정보,Noun
주주,주주,주주,Noun
구성,구성,구성,Noun
공시,공시,공시,Noun
정보,정보,정보,Noun
재무제표,재무제표,재무제표,Noun
감사,감사,감사,Noun
보고서,보고서,보고서,Noun
사업,사업,사업,Noun
보고서,보고서,보고서,Noun
결산,결산,결산,Noun
공고,공고,공고,Noun
공고,공고,공고,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
규정,규정,규정,Noun
알림,알림,알림,Noun
홍보,홍보,홍보,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
보도자료,보도자료,보도자료,Noun
채용정보,채용정보,채용정보,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
직무,직무,직무,Noun
소개,소개,소개,Noun
지원,지원,지원,Noun
하기,하기,하다,Verb
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
규정,규정,규정,Noun
홈,홈,홈,Noun
투자,투자,투자,Noun
정보,정보,정보,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
규정,규정,규정,Noun
제정,제정,제정,Noun
2004.09,2004.09,2004.09,Number
.,.,.,Punctuation
01,01,01,Number
개정,개정,개정,Noun
2007.06,2007.06,2007.06,Number
.,.,.,Punctuation
30,30,30,Number
개정,개정,개정,Noun
2009.09,2009.09,2009.09,Number
.,.,.,Punctuation
01,01,01,Number
개정,개정,개정,Noun
2017.08,2017.08,2017.08,Number
.,.,.,Punctuation
01,01,01,Number
1,1,1,Number
장,장,장,Noun
총칙,총칙,총칙,Noun
1조,1조,1조,Number
목적,목적,목적,Noun
규정,규정,규정,Noun
은,은,은,Josa
「,「,「,Foreign
자본시장,자본시장,자본시장,Noun
금융투자,금융투자,금융투자,Noun
업,업,업,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
」,」,」,Foreign
이하,이하,이하,Noun
법,법,법,Noun
”,”,”,Foreign
이라,이라,이르다,Verb
한다,한다,하다,Verb
제반,제반,제반,Noun
법규,법규,법규,Noun
따른,따른,따르다,Verb
신속,신속,신속,Noun
정확한,정확한,정확하다,Adjective
공시,공시,공시,Noun
임원,임원,임원,Noun
직원,직원,직원,Noun
내부자거래,내부자거래,내부자거래,Noun
방지,방지,방지,Noun
위,위,위,Noun
하여,하여,하다,Verb
회사,회사,회사,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
종합,종합,종합,Noun
관리,관리,관리,Noun
적절한,적절한,적절하다,Adjective
공개,공개,공개,Noun
관,관,관,Noun
한,한,한,Josa
사항,사항,사항,Noun
정함,정함,정함,Noun
목적,목적,목적,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
2조,2조,2조,Number
용어,용어,용어,Noun
정의,정의,정의,Noun
규정,규정,규정,Noun
사용,사용,사용,Noun
하는,하는,하다,Verb
용어,용어,용어,Noun
정의,정의,정의,Noun
는,는,는,Josa
.,.,.,Punctuation
①,①,①,Foreign
규정,규정,규정,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
”,”,”,Foreign
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
한국,한국,한국,Noun
거래소,거래소,거래소,Noun
이하,이하,이하,Noun
거래소,거래소,거래소,Noun
”,”,”,Foreign
라,라,라,Josa
한다,한다,하다,Verb
코스닥시장,코스닥시장,코스닥시장,Noun
공시,공시,공시,Noun
규정,규정,규정,Noun
이하,이하,이하,Noun
공시,공시,공시,Noun
규정,규정,규정,Noun
”,”,”,Foreign
이라,이라,이르다,Verb
한다,한다,하다,Verb
1,1,1,Number
편,편,편,Noun
의한,의한,의하다,Adjective
공,공,공,Modifier
시,시,시,Modifier
의무,의무,의무,Noun
사항,사항,사항,Noun
밖에,밖에,밖에,Josa
회사,회사,회사,Noun
경영,경영,경영,Noun
또는,또는,또는,Adverb
재산,재산,재산,Noun
상황,상황,상황,Noun
관,관,관,Noun
한,한,한,Josa
투자자,투자자,투자자,Noun
투자,투자,투자,Noun
판단,판단,판단,Noun
영향,영향,영향,Noun
미칠,미칠,미치다,Adjective
수,수,수,Noun
있는,있는,있다,Adjective
사항,사항,사항,Noun
말,말,말,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
②,②,②,Foreign
규정,규정,규정,Noun
공시,공시,공시,Noun
책임자,책임자,책임자,Noun
”,”,”,Foreign
라,라,라,Josa
함,함,함,Noun
은,은,은,Josa
공시,공시,공시,Noun
규정,규정,규정,Noun
2조,2조,2조,Number
4,4,4,Number
항,항,항,Noun
회사,회사,회사,Noun
대표,대표,대표,Noun
하여,하여,하다,Verb
신고,신고,신고,Noun
업무,업무,업무,Noun
수행,수행,수행,Noun
할,할,하다,Verb
수,수,수,Noun
있는,있는,있다,Adjective
자를,자를,자르다,Verb
말,말,말,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
③,③,③,Foreign
규정,규정,규정,Noun
임원,임원,임원,Noun
”,”,”,Foreign
이라,이라,이르다,Verb
함,함,함,Noun
은,은,은,Josa
이사,이사,이사,Noun
「,「,「,Foreign
상법,상법,상법,Noun
」,」,」,Foreign
401조,401조,401조,Number
2,2,2,Number
1,1,1,Number
항,항,항,Noun
호의,호의,호의,Noun
해당,해당,해당,Noun
하는,하는,하다,Verb
자를,자를,자르다,Verb
포함,포함,포함,Noun
한다,한다,하다,Verb
감사,감사,감사,Noun
말,말,말,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
④,④,④,Foreign
1,1,1,Number
항,항,항,Noun
3,3,3,Number
항,항,항,Noun
이외,이외,이외,Noun
규정,규정,규정,Noun
사용,사용,사용,Noun
하는,하는,하다,Verb
용어,용어,용어,Noun
정의,정의,정의,Noun
관,관,관,Noun
하여는,하여는,하다,Verb
관련,관련,관련,Noun
법규,법규,법규,Noun
사용,사용,사용,Noun
하는,하는,하다,Verb
용어,용어,용어,Noun
정의,정의,정의,Noun
의한다,의한다,의하다,Adjective
.,.,.,Punctuation
3조,3조,3조,Number
적용,적용,적용,Noun
범위,범위,범위,Noun
공시,공시,공시,Noun
",",",",",",Punctuation
내부자거래,내부자거래,내부자거래,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
관,관,관,Noun
한,한,한,Josa
사항,사항,사항,Noun
은,은,은,Josa
관련,관련,관련,Noun
법령,법령,법령,Noun
",",",",",",Punctuation
규정,규정,규정,Noun
또는,또는,또는,Adverb
정관,정관,정관,Noun
정,정,정,Noun
한,한,한,Josa
제외,제외,제외,Noun
하고는,하고는,하고는,Josa
규정,규정,규정,Noun
따른다,따른다,따르다,Verb
.,.,.,Punctuation
2,2,2,Number
장,장,장,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
4조,4조,4조,Number
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
①,①,①,Foreign
임원,임원,임원,Noun
직원,직원,직원,Noun
은,은,은,Josa
업무,업무,업무,Noun
상,상,상,Suffix
알,알,알,Noun
게,게,게,Josa
된,된,되다,Verb
회사,회사,회사,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
엄중히,엄중히,엄중하다,Adjective
관리,관리,관리,Noun
하고,하고,하다,Verb
",",",",",",Punctuation
업무,업무,업무,Noun
상,상,상,Suffix
필요한,필요한,필요하다,Adjective
경우,경우,경우,Noun
제외,제외,제외,Noun
하고는,하고는,하고는,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
사내,사내,사내,Noun
또는,또는,또는,Adverb
외,외,외,Noun
유출,유출,유출,Noun
하여,하여,하다,Verb
서는,서는,서다,Verb
된다,된다,되다,Verb
.,.,.,Punctuation
②,②,②,Foreign
대표이사,대표이사,대표이사,Noun
는,는,는,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
관련,관련,관련,Noun
된,된,되다,Verb
문서,문서,문서,Noun
보관,보관,보관,Noun
",",",",",",Punctuation
전달,전달,전달,Noun
",",",",",",Punctuation
파기,파기,파기,Noun
관,관,관,Noun
한,한,한,Josa
구체,구체,구체,Noun
적,적,적,Suffix
인,인,인,Josa
기준,기준,기준,Noun
정,정,정,Noun
하는,하는,하다,Verb
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
위해,위해,위해,Noun
필요한,필요한,필요하다,Adjective
조치,조치,조치,Noun
취하,취하,취하,Noun
여야,여야,여야,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
5조,5조,5조,Number
공시,공시,공시,Noun
책임자,책임자,책임자,Noun
①,①,①,Foreign
대표이사,대표이사,대표이사,Noun
는,는,는,Josa
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
정,정,정,Noun
하여,하여,하다,Verb
지체,지체,지체,Noun
없이,없이,없이,Adverb
거래소,거래소,거래소,Noun
신고,신고,신고,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
변경,변경,변경,Noun
한,한,한,Josa
에도,에도,에도,Josa
.,.,.,Punctuation
②,②,②,Foreign
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
는,는,는,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
관리제,관리제,관리제,Noun
도의,도의,도의,Noun
수립,수립,수립,Noun
운영,운영,운영,Noun
관련,관련,관련,Noun
된,된,되다,Verb
업무,업무,업무,Noun
총괄,총괄,총괄,Noun
하며,하며,하다,Verb
호의,호의,호의,Noun
업무,업무,업무,Noun
수행,수행,수행,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
공시,공시,공시,Noun
집행,집행,집행,Noun
2,2,2,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
관리제,관리제,관리제,Noun
도의,도의,도의,Noun
운영,운영,운영,Noun
상황,상황,상황,Noun
점검,점검,점검,Noun
평가,평가,평가,Noun
3,3,3,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
대한,대한,대한,Noun
검토,검토,검토,Noun
공시,공시,공시,Noun
결정,결정,결정,Noun
4,4,4,Number
.,.,.,Punctuation
임원,임원,임원,Noun
직원,직원,직원,Noun
대한,대한,대한,Noun
교육,교육,교육,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리제,관리제,관리제,Noun
도의,도의,도의,Noun
운영,운영,운영,Noun
위해,위해,위해,Noun
필요한,필요한,필요하다,Adjective
조치,조치,조치,Noun
5,5,5,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
담당,담당,담당,Noun
거나,거나,거나,Noun
공,공,공,Modifier
시,시,시,Modifier
업무,업무,업무,Noun
담당,담당,담당,Noun
하는,하는,하다,Verb
부서,부서,부서,Noun
또는,또는,또는,Adverb
임원,임원,임원,Noun
직원,직원,직원,Noun
대한,대한,대한,Noun
지휘,지휘,지휘,Noun
감독,감독,감독,Noun
6,6,6,Number
.,.,.,Punctuation
밖에,밖에,밖에,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
관리제,관리제,관리제,Noun
도의,도의,도의,Noun
운영,운영,운영,Noun
위해,위해,위해,Noun
필요하다고,필요하다고,필요하다,Adjective
대표이사,대표이사,대표이사,Noun
인정,인정,인정,Noun
한,한,한,Josa
업무,업무,업무,Noun
③,③,③,Foreign
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
는,는,는,Josa
직무,직무,직무,Noun
수행,수행,수행,Noun
함,함,함,Noun
있어서,있어서,있다,Adjective
호의,호의,호의,Noun
권한,권한,권한,Noun
가진다,가진다,가지다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
관련,관련,관련,Noun
된,된,되다,Verb
서류,서류,서류,Noun
기록,기록,기록,Noun
제출,제출,제출,Noun
요구,요구,요구,Noun
하고,하고,하고,Josa
열람,열람,열람,Noun
할,할,하다,Verb
수,수,수,Noun
있는,있는,있다,Adjective
권한,권한,권한,Noun
2,2,2,Number
.,.,.,Punctuation
회계,회계,회계,Noun
또는,또는,또는,Adverb
감사,감사,감사,Noun
업무,업무,업무,Noun
담당,담당,담당,Noun
하는,하는,하다,Verb
부서,부서,부서,Noun
",",",",",",Punctuation
밖에,밖에,밖에,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
생,생,생,Noun
성과,성과,성과,Noun
관련,관련,관련,Noun
있는,있는,있다,Adjective
업무,업무,업무,Noun
담당,담당,담당,Noun
하는,하는,하다,Verb
부서,부서,부서,Noun
임원,임원,임원,Noun
직원,직원,직원,Noun
으로부터,으로부터,으로부터,Josa
필요한,필요한,필요하다,Adjective
의견,의견,의견,Noun
청취,청취,청취,Noun
할,할,하다,Verb
수,수,수,Noun
있는,있는,있다,Adjective
권한,권한,권한,Noun
④,④,④,Foreign
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
는,는,는,Josa
직무,직무,직무,Noun
수행,수행,수행,Noun
함,함,함,Noun
있어,있어,있다,Adjective
필요한,필요한,필요하다,Adjective
경우,경우,경우,Noun
관련,관련,관련,Noun
업무,업무,업무,Noun
담당,담당,담당,Noun
하는,하는,하다,Verb
임원,임원,임원,Noun
협의,협의,협의,Noun
할,할,하다,Verb
수,수,수,Noun
있으며,있으며,있다,Adjective
",",",",",",Punctuation
회사,회사,회사,Noun
비용,비용,비용,Noun
전문가,전문가,전문가,Noun
조력,조력,조력,Noun
할,할,하다,Verb
수,수,수,Noun
.,.,.,Punctuation
⑤,⑤,⑤,Foreign
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
는,는,는,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
관리제,관리제,관리제,Noun
도의,도의,도의,Noun
운영,운영,운영,Noun
상황,상황,상황,Noun
정기,정기,정기,Noun
적,적,적,Suffix
대표이사,대표이사,대표이사,Noun
또는,또는,또는,Adverb
이사회,이사회,이사회,Noun
보고,보고,보고,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
6조,6조,6조,Number
공시,공시,공시,Noun
담당자,담당자,담당자,Noun
①,①,①,Foreign
대표이사,대표이사,대표이사,Noun
는,는,는,Josa
공,공,공,Modifier
시,시,시,Modifier
담당자,담당자,담당자,Noun
정,정,정,Noun
하여,하여,하다,Verb
지체,지체,지체,Noun
없이,없이,없이,Adverb
거래소,거래소,거래소,Noun
신고,신고,신고,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
공,공,공,Modifier
시,시,시,Modifier
담당자,담당자,담당자,Noun
변경,변경,변경,Noun
한,한,한,Josa
에도,에도,에도,Josa
.,.,.,Punctuation
②,②,②,Foreign
공,공,공,Modifier
시,시,시,Modifier
담당자,담당자,담당자,Noun
는,는,는,Josa
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
관련,관련,관련,Noun
하여,하여,하다,Verb
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
지휘,지휘,지휘,Noun
받으며,받으며,받다,Verb
호의,호의,호의,Noun
업무,업무,업무,Noun
수행,수행,수행,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
수집,수집,수집,Noun
검토,검토,검토,Noun
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
대한,대한,대한,Noun
보고,보고,보고,Noun
2,2,2,Number
.,.,.,Punctuation
공시,공시,공시,Noun
집행,집행,집행,Noun
위해,위해,위해,Noun
필요한,필요한,필요하다,Adjective
업무,업무,업무,Noun
3,3,3,Number
.,.,.,Punctuation
공시,공시,공시,Noun
관련,관련,관련,Noun
법규,법규,법규,Noun
변경,변경,변경,Noun
내부,내부,내부,Noun
정보,정보,정보,Noun
관리,관리,관리,Noun
위해,위해,위해,Noun
필요한,필요한,필요하다,Adjective
사항,사항,사항,Noun
확인,확인,확인,Noun
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
대한,대한,대한,Noun
보고,보고,보고,Noun
4,4,4,Number
.,.,.,Punctuation
밖에,밖에,밖에,Josa
대표이사,대표이사,대표이사,Noun
또는,또는,또는,Adverb
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
필요하다고,필요하다고,필요하다,Adjective
인정,인정,인정,Noun
한,한,한,Josa
사항,사항,사항,Noun
7조,7조,7조,Number
내부,내부,내부,Noun
정보,정보,정보,Noun
집중,집중,집중,Noun
①,①,①,Foreign
임원,임원,임원,Noun
부서,부서,부서,Noun
장,장,장,Noun
은,은,은,Josa
호의,호의,호의,Noun
해당,해당,해당,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
적시에,적시에,적다,Verb
공,공,공,Modifier
시,시,시,Modifier
책임자,책임자,책임자,Noun
관,관,관,Noun
한,한,한,Josa
정보,정보,정보,Noun
제공,제공,제공,Noun
한다,한다,하다,Verb
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
내,내,내,Determiner
부정,부정,부정,Noun
보가,보가,보가,Noun
발생,발생,발생,Noun
거나,거나,거나,Noun
발생,발생,발생,Noun
예상,예상,예상,Noun
되는,되는,되다,Verb
경우,경우,경우,Noun
2,2,2,Number
.,.,.,Punctuation
내부,내부,내부,Noun
정보,정보,정보,Noun
중,중,중,Noun
이미,이미,이미,Adverb
공시,공시,공시,Noun
된,된,되다,Verb
사항,사항,사항,Noun
취소,취소,취소,Noun
또는,또는,또는,Adverb
변경,변경,변경,Noun
해야,해야,하다,Verb
할,할,하다,Verb
사유,사유,사유,Noun
발생,발생,발생,Noun
