surface,normalized,dictionary,pos
인포,인포,인포,Noun
21,21,21,Number
C,C,C,Alpha
입찰,입찰,입찰,Noun
정보,정보,정보,Noun
최상,최상,최상,Noun
정보,정보,정보,Noun
최고,최고,최고,Noun
고객,고객,고객,Noun
특별한,특별한,특별하다,Adjective
혜택,혜택,혜택,Noun
공동,공동,공동,Noun
도급,도급,도급,Noun
기업,기업,기업,Noun
정보,정보,정보,Noun
공동,공동,공동,Noun
도급,도급,도급,Noun
협정,협정,협정,Noun
공무,공무,공무,Noun
달인,달인,달인,Noun
공,공,공,Modifier
서식,서식,서식,Noun
동생,동생,동생,Noun
성,성,성,Suffix
내,내,내,Determiner
역서,역서,역서,Noun
변환,변환,변환,Noun
사진,사진,사진,Noun
대지,대지,대지,Noun
작성,작성,작성,Noun
공,공,공,Modifier
달,달,달,Noun
캐드,캐드,캐드,Noun
현장,현장,현장,Noun
관리,관리,관리,Noun
급여,급여,급여,Noun
관리,관리,관리,Noun
프로그램,프로그램,프로그램,Noun
공동,공동,공동,Noun
인증서,인증서,인증서,Noun
30%,30%,30%,Number
DC,DC,DC,Alpha
기업,기업,기업,Noun
신용,신용,신용,Noun
평가,평가,평가,Noun
30%,30%,30%,Number
DC,DC,DC,Alpha
입찰,입찰,입찰,Noun
내,내,내,Determiner
역서,역서,역서,Noun
계약,계약,계약,Noun
내,내,내,Determiner
역서,역서,역서,Noun
모바일,모바일,모바일,Noun
어플,어플,어플,Noun
결제,결제,결제,Noun
센터,센터,센터,Noun
회원정보,회원정보,회원정보,Noun
수정,수정,수정,Noun
기업,기업,기업,Noun
정보,정보,정보,Noun
의문,의문,의문,Noun
내,내,내,Determiner
역,역,역,Noun
친절한,친절한,친절하다,Adjective
고객,고객,고객,Noun
센터,센터,센터,Noun
1544-2785,1544-2785,1544-2785,Number
평일,평일,평일,Noun
9~18시,9~18시,9~18시,Number
점심,점심,점심,Noun
12~13시,12~13시,12~13시,Number
로그아웃,로그아웃,로그아웃,Noun
로그인,로그인,로그인,Noun
입찰,입찰,입찰,Noun
정보,정보,정보,Noun
공사,공사,공사,Noun
입찰,입찰,입찰,Noun
용역,용역,용역,Noun
입찰,입찰,입찰,Noun
구매,구매,구매,Noun
입찰,입찰,입찰,Noun
무료,무료,무료,Noun
알림,알림,알림,Noun
설정,설정,설정,Noun
동영상,동영상,동영상,Noun
안내,안내,안내,Noun
낙찰,낙찰,낙찰,Noun
정보,정보,정보,Noun
공사,공사,공사,Noun
낙찰,낙찰,낙찰,Noun
용역,용역,용역,Noun
낙찰,낙찰,낙찰,Noun
구매,구매,구매,Noun
낙찰,낙찰,낙찰,Noun
최종,최종,최종,Noun
낙찰,낙찰,낙찰,Noun
현황,현황,현황,Noun
무료,무료,무료,Noun
알림,알림,알림,Noun
설정,설정,설정,Noun
동영상,동영상,동영상,Noun
안내,안내,안내,Noun
파워,파워,파워,Noun
분석,분석,분석,Noun
발주,발주,발주,Noun
처,처,처,Noun
심층,심층,심층,Noun
분석,분석,분석,Noun
사정,사정,사정,Noun
율,율,율,Noun
빈도,빈도,빈도,Noun
분석,분석,분석,Noun
관심,관심,관심,Noun
업체,업체,업체,Noun
투찰,투찰,투찰,Noun
성향,성향,성향,Noun
프리즘,프리즘,프리즘,Noun
2.0,2.0,2.0,Number
개인,개인,개인,Noun
서류,서류,서류,Noun
함,함,함,Noun
투찰함,투찰함,투찰함,Noun
1:1분,1:1분,1:1분,Number
석회원,석회원,석회원,Foreign
