surface,normalized,dictionary,pos
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
메인,메인,메인,Noun
메뉴,메뉴,메뉴,Noun
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
열기,열기,열기,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
전체,전체,전체,Noun
메뉴,메뉴,메뉴,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
Always,Always,Always,Alpha
with,with,with,Alpha
you,you,you,Alpha
JPS,JPS,JPS,Alpha
",",",",",",Punctuation
언제나,언제나,언제나,Adverb
곁,곁,곁,Noun
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
﻿,﻿,﻿,Foreign
기계,기계,기계,Noun
경비,경비,경비,Noun
인력,인력,인력,Noun
경비,경비,경비,Noun
CCTV,CCTV,CCTV,Alpha
",",",",",",Punctuation
GATE,GATE,GATE,Alpha
정보통,정보통,정보통,Noun
신,신,신,Modifier
공사,공사,공사,Noun
청소용역,청소용역,청소용역,Noun
서비스,서비스,서비스,Noun
토탈,토탈,토탈,Noun
아웃소싱,아웃소싱,아웃소싱,Noun
인력,인력,인력,Noun
경비,경비,경비,Noun
훈련,훈련,훈련,Noun
된,된,되다,Verb
전문요원,전문요원,전문요원,Noun
위험,위험,위험,Noun
으로부터,으로부터,으로부터,Josa
고객,고객,고객,Noun
생명,생명,생명,Noun
재산,재산,재산,Noun
보호,보호,보호,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
전문,전문,전문,Noun
적,적,적,Suffix
인,인,인,Josa
보안,보안,보안,Noun
시스템,시스템,시스템,Noun
체계,체계,체계,Noun
적,적,적,Suffix
인,인,인,Josa
교육,교육,교육,Noun
보안,보안,보안,Noun
산업,산업,산업,Noun
표준,표준,표준,Noun
만들어,만들어,만들다,Verb
갑니다,갑니다,가다,Verb
.,.,.,Punctuation
20년,20년,20년,Number
다양한,다양한,다양하다,Adjective
운영,운영,운영,Noun
경험,경험,경험,Noun
통해,통해,통해,Noun
고객,고객,고객,Noun
유형,유형,유형,Noun
별,별,별,Noun
최적,최적,최적,Noun
보안,보안,보안,Noun
솔루션,솔루션,솔루션,Noun
제공,제공,제공,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
빌딩,빌딩,빌딩,Noun
공동,공동,공동,Noun
주택,주택,주택,Noun
병원,병원,병원,Noun
공장,공장,공장,Noun
쇼핑몰,쇼핑몰,쇼핑몰,Noun
면세점,면세점,면세점,Noun
행사,행사,행사,Noun
장,장,장,Suffix
질서,질서,질서,Noun
유지,유지,유지,Noun
테마,테마,테마,Noun
파크,파크,파크,Noun
호텔,호텔,호텔,Noun
회원,회원,회원,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
로그인,로그인,로그인,Noun
회사,회사,회사,Noun
소개,소개,소개,Noun
서비스,서비스,서비스,Noun
소개,소개,소개,Noun
오시는길,오시는길,오다,Verb
채용정보,채용정보,채용정보,Noun
CONTACT,CONTACT,CONTACT,Alpha
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
주소,주소,주소,Noun
대구광역시,대구광역시,대구광역시,Noun
동구,동구,동구,Noun
송라,송라,송라,Noun
66,66,66,Number
Email,Email,Email,Alpha
email,email,email,Alpha
protected,protected,protected,Alpha
TEL,TEL,TEL,Alpha
053,053,053,Number
741-0985,741-0985,741-0985,Number
COPYRIGHT,COPYRIGHT,COPYRIGHT,Alpha
©,©,©,Foreign
2021,2021,2021,Number
정,정,정,Noun
풍,풍,풍,Adverb
시큐리티,시큐리티,시큐리티,Noun
ALL,ALL,ALL,Alpha
RIGHTS,RIGHTS,RIGHTS,Alpha
RESERVED,RESERVED,RESERVED,Alpha
.,.,.,Punctuation
상단,상단,상단,Noun
