surface,normalized,dictionary,pos
보안,보안,보안,Noun
네이버,네이버,네이버,Noun
웍스,웍스,웍스,Noun
기능,기능,기능,Noun
솔루션,솔루션,솔루션,Noun
이용,이용,이용,Noun
요금,요금,요금,Noun
도입,도입,도입,Noun
사례,사례,사례,Noun
리소스,리소스,리소스,Noun
지원,지원,지원,Noun
앱,앱,앱,Noun
다운로드,다운로드,다운로드,Noun
로그인,로그인,로그인,Noun
무료,무료,무료,Noun
시작,시작,시작,Noun
하기,하기,하다,Verb
협업,협업,협업,Noun
도구,도구,도구,Noun
custom,custom,custom,Alpha
5,5,5,Number
메시지,메시지,메시지,Noun
메일,메일,메일,Noun
custom,custom,custom,Alpha
14,14,14,Number
캘린더,캘린더,캘린더,Noun
custom,custom,custom,Alpha
16,16,16,Number
할,할,하다,Verb
custom,custom,custom,Alpha
0,0,0,Number
게시판,게시판,게시판,Noun
설문,설문,설문,Noun
화상회의,화상회의,화상회의,Noun
주소록,주소록,주소록,Noun
드라이브,드라이브,드라이브,Noun
WORKS,WORKS,WORKS,Alpha
AI,AI,AI,Alpha
경영,경영,경영,Noun
지원,지원,지원,Noun
결재,결재,결재,Noun
custom,custom,custom,Alpha
12,12,12,Number
인사,인사,인사,Noun
custom,custom,custom,Alpha
2,2,2,Number
근,근,근,Modifier
태,태,태,Noun
급여,급여,급여,Noun
재무,재무,재무,Noun
custom,custom,custom,Alpha
8,8,8,Number
서약,서약,서약,Noun
서,서,서,Josa
네이버,네이버,네이버,Noun
웍스,웍스,웍스,Noun
소개,소개,소개,Noun
시작,시작,시작,Noun
가이드,가이드,가이드,Noun
네이버,네이버,네이버,Noun
웍스,웍스,웍스,Noun
기초,기초,기초,Noun
가입,가입,가입,Noun
과정,과정,과정,Noun
쉽게,쉽게,쉬다,Verb
알려,알려,알다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
어드민,어드민,어드민,Noun
연,연,연,Modifier
계,계,계,Noun
솔루션,솔루션,솔루션,Noun
보안,보안,보안,Noun
도입,도입,도입,Noun
문의,문의,문의,Noun
앱,앱,앱,Noun
다운로드,다운로드,다운로드,Noun
헬프,헬프,헬프,Noun
센터,센터,센터,Noun
산업,산업,산업,Noun
별,별,별,Noun
제조,제조,제조,Noun
가장,가장,가장,Noun
쉽게,쉽게,쉬다,Verb
시작,시작,시작,Noun
하는,하는,하다,Verb
제조업,제조업,제조업,Noun
디지털,디지털,디지털,Noun
전환,전환,전환,Noun
IT,IT,IT,Alpha
맡은,맡은,맡다,Verb
은,은,은,Josa
달라,달라,달라,Noun
도,도,도,Josa
목표,목표,목표,Noun
방향,방향,방향,Noun
은,은,은,Josa
동일하게,동일하게,동일하다,Adjective
서비스,서비스,서비스,Noun
된,된,되다,Verb
소통,소통,소통,Noun
체계,체계,체계,Noun
매출,매출,매출,Noun
상승,상승,상승,Noun
비결,비결,비결,Noun
미디어,미디어,미디어,Noun
엔터테인먼트,엔터테인먼트,엔터테인먼트,Noun
프로젝트,프로젝트,프로젝트,Noun
성공,성공,성공,Noun
만드는,만드는,만들다,Verb
집중,집중,집중,Noun
형,형,형,Suffix
협업,협업,협업,Noun
공간,공간,공간,Noun
의료,의료,의료,Noun
빠르고,빠르고,빠르다,Adjective
정확하게,정확하게,정확하다,Adjective
의료,의료,의료,Noun
현장,현장,현장,Noun
지원,지원,지원,Noun
하는,하는,하다,Verb
방법,방법,방법,Noun
공공기관,공공기관,공공기관,Noun
지자체,지자체,지자체,Noun
지역,지역,지역,Noun
내,내,내,Noun
민원,민원,민원,Noun
재해,재해,재해,Noun
재난,재난,재난,Noun
빠르고,빠르고,빠르다,Adjective
신속하게,신속하게,신속하다,Adjective
대처,대처,대처,Noun
하는,하는,하다,Verb
방법,방법,방법,Noun
교육,교육,교육,Noun
교육,교육,교육,Noun
환경,환경,환경,Noun
개선,개선,개선,Noun
하고,하고,하고,Josa
