surface,normalized,dictionary,pos
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
큐,큐,큐,Noun
렉스,렉스,렉스,Noun
즐겨찾기,즐겨찾기,즐겨찾기,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
장바구니,장바구니,장바구니,Noun
주문,주문,주문,Noun
조회,조회,조회,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
검색어,검색어,검색어,Noun
입력,입력,입력,Noun
하세요,하세요,하다,Verb
.,.,.,Punctuation
HOT,HOT,HOT,Alpha
서,서,서,Modifier
플리,플리,플리,Noun
다이어트,다이어트,다이어트,Noun
퓨어,퓨어,퓨어,Noun
인사말,인사말,인사말,Noun
제품,제품,제품,Noun
정보,정보,정보,Noun
관절,관절,관절,Noun
서,서,서,Modifier
플리,플리,플리,Noun
기관지,기관지,기관지,Noun
비염,비염,비염,Noun
서,서,서,Modifier
플리,플리,플리,Noun
성장,성장,성장,Noun
서,서,서,Modifier
플리,플리,플리,Noun
수면,수면,수면,Noun
개선,개선,개선,Noun
서,서,서,Modifier
플리,플리,플리,Noun
피부,피부,피부,Noun
건선,건선,건선,Noun
서,서,서,Modifier
플리,플리,플리,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
인사말,인사말,인사말,Noun
제품,제품,제품,Noun
정보,정보,정보,Noun
관절,관절,관절,Noun
서,서,서,Modifier
플리,플리,플리,Noun
기관지,기관지,기관지,Noun
비염,비염,비염,Noun
서,서,서,Modifier
플리,플리,플리,Noun
성장,성장,성장,Noun
서,서,서,Modifier
플리,플리,플리,Noun
수면,수면,수면,Noun
개선,개선,개선,Noun
서,서,서,Modifier
플리,플리,플리,Noun
피부,피부,피부,Noun
건선,건선,건선,Noun
서,서,서,Modifier
플리,플리,플리,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
큐,큐,큐,Noun
렉스,렉스,렉스,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
CUAREX,CUAREX,CUAREX,Alpha
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
라,라,라,Josa
함,함,함,Noun
는,는,늘다,Verb
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
정보보호,정보보호,정보보호,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
",",",",",",Punctuation
개인정보보호법,개인정보보호법,개인정보보호법,Noun
개인정보,개인정보,개인정보,Noun
관련,관련,관련,Noun
된,된,되다,Verb
법령,법령,법령,Noun
상의,상의,상의,Noun
규정,규정,규정,Noun
준수,준수,준수,Noun
하고,하고,하고,Josa
있으며,있으며,있다,Adjective
",",",",",",Punctuation
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
제정,제정,제정,Noun
하여,하여,하다,Verb
이용자,이용자,이용자,Noun
권익,권익,권익,Noun
보호,보호,보호,Noun
최선,최선,최선,Noun
다,다,다,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
통,통,통,Noun
하여,하여,하다,Verb
이용자,이용자,이용자,Noun
개인정보,개인정보,개인정보,Noun
용도,용도,용도,Noun
방식,방식,방식,Noun
이용,이용,이용,Noun
되고,되고,되다,Verb
있으며,있으며,있다,Adjective
",",",",",",Punctuation
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
위해,위해,위해,Noun
회사,회사,회사,Noun
조치,조치,조치,Noun
취하,취하,취하,Noun
는,는,는,Josa
지,지,지다,Verb
알려,알려,알다,Verb
드립니다,드립니다,드리다,Verb
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
개정,개정,개정,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
웹사이트,웹사이트,웹사이트,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
또는,또는,또는,Adverb
개별,개별,개별,Noun
