surface,normalized,dictionary,pos
피망,피망,피망,Noun
대한민국,대한민국,대한민국,Noun
No,No,No,Alpha
.,.,.,Punctuation
1,1,1,Number
게임,게임,게임,Noun
포털,포털,포털,Noun
피망,피망,피망,Noun
피망,피망,피망,Noun
대한민국,대한민국,대한민국,Noun
No,No,No,Alpha
.,.,.,Punctuation
1,1,1,Number
게임,게임,게임,Noun
포털,포털,포털,Noun
피망,피망,피망,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
캠페인,캠페인,캠페인,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
고객,고객,고객,Noun
센터,센터,센터,Noun
보안,보안,보안,Noun
센터,센터,센터,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
One,One,One,Alpha
Time,Time,Time,Alpha
Password,Password,Password,Alpha
약자,약자,약자,Noun
피망,피망,피망,Noun
로그인,로그인,로그인,Noun
시,시,시,Noun
",",",",",",Punctuation
기본,기본,기본,Noun
적,적,적,Suffix
입력,입력,입력,Noun
하던,하던,하다,Verb
아이디,아이디,아이디,Noun
비밀번호,비밀번호,비밀번호,Noun
이외,이외,이외,Noun
휴대폰,휴대폰,휴대폰,Noun
다운,다운,다운,Noun
받은,받은,받다,Verb
OTP,OTP,OTP,Alpha
프로그램,프로그램,프로그램,Noun
통,통,통,Noun
하여,하여,하다,Verb
새로운,새로운,새롭다,Adjective
비밀번호,비밀번호,비밀번호,Noun
발급,발급,발급,Noun
받아,받아,받다,Verb
입력,입력,입력,Noun
해야,해야,하다,Verb
서비스,서비스,서비스,Noun
게임,게임,게임,Noun
실행,실행,실행,Noun
",",",",",",Punctuation
아이템,아이템,아이템,Noun
구매,구매,구매,Noun
",",",",",",Punctuation
선물,선물,선물,Noun
보내기,보내기,보내다,Verb
이용,이용,이용,Noun
되는,되는,되다,Verb
이중,이중,이중,Noun
보안,보안,보안,Noun
서비스,서비스,서비스,Noun
입니다,입니다,이다,Adjective
.,.,.,Punctuation
새로운,새로운,새롭다,Adjective
비밀번호,비밀번호,비밀번호,Noun
발급,발급,발급,Noun
되므로,되므로,되다,Verb
개인정보,개인정보,개인정보,Noun
유출,유출,유출,Noun
보다,보다,보다,Verb
안전하게,안전하게,안전하다,Adjective
보호,보호,보호,Noun
받으실,받으실,받다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
가입,가입,가입,Noun
은,은,은,Josa
무료,무료,무료,Noun
이며,이며,이며,Josa
",",",",",",Punctuation
비밀번호,비밀번호,비밀번호,Noun
확인,확인,확인,Noun
시,시,시,Noun
에도,에도,에도,Josa
별도,별도,별도,Noun
통신,통신,통신,Noun
요금,요금,요금,Noun
부과,부과,부과,Noun
되지,되지,되다,Verb
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
기존,기존,기존,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
방법,방법,방법,Noun
OTP,OTP,OTP,Alpha
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
방법,방법,방법,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
이용,이용,이용,Noun
시,시,시,Noun
유의사항,유의사항,유의사항,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
에는,에는,에는,Josa
가입,가입,가입,Noun
되어,되어,되어다,Verb
있는데,있는데,있다,Adjective
OTP,OTP,OTP,Alpha
프로그램,프로그램,프로그램,Noun
설치,설치,설치,Noun
된,된,되다,Verb
휴대폰,휴대폰,휴대폰,Noun
분실,분실,분실,Noun
변경,변경,변경,Noun
거나,거나,거나,Noun
해당,해당,해당,Noun
프로그램,프로그램,프로그램,Noun
삭제,삭제,삭제,Noun
한,한,한,Josa
경우,경우,경우,Noun
에는,에는,에는,Josa
OTP,OTP,OTP,Alpha
해지,해지,해지,Noun
후,후,후,Noun
재,재,재,Noun
가입,가입,가입,Noun
해,해,해,Noun
주셔야,주셔야,주다,Verb
합니다,합니다,하다,Verb
.,.,.,Punctuation
OTP,OTP,OTP,Alpha
번호,번호,번호,Noun
는,는,는,Josa
휴대폰,휴대폰,휴대폰,Noun
SMS,SMS,SMS,Alpha
전송,전송,전송,Noun
되는,되는,되다,Verb
아니라,아니라,아니다,Adjective
아래,아래,아래,Noun
프로그램,프로그램,프로그램,Noun
실행,실행,실행,Noun
하시고,하시고,하다,Verb
확인,확인,확인,Noun
하셔야,하셔야,하다,Verb
합니다,합니다,하다,Verb
.,.,.,Punctuation
OTP,OTP,OTP,Alpha
프로그램,프로그램,프로그램,Noun
다운로드,다운로드,다운로드,Noun
일부,일부,일부,Noun
메뉴,메뉴,메뉴,Noun
이용,이용,이용,Noun
시,시,시,Noun
무선인터넷,무선인터넷,무선인터넷,Noun
이용,이용,이용,Noun
료,료,료,Noun
는,는,는,Josa
이동통신,이동통신,이동통신,Noun
사의,사의,사의,Noun
과금,과금,과금,Noun
정책,정책,정책,Noun
부과,부과,부과,Noun
될,될,되다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
OTP,OTP,OTP,Alpha
는,는,늘다,Verb
로그인,로그인,로그인,Noun
후,후,후,Noun
아이템,아이템,아이템,Noun
구매,구매,구매,Noun
",",",",",",Punctuation
선물,선물,선물,Noun
보내기,보내기,보내다,Verb
",",",",",",Punctuation
게임,게임,게임,Noun
실행,실행,실행,Noun
이용,이용,이용,Noun
시,시,시,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
적용,적용,적용,Noun
되며,되며,되다,Verb
",",",",",",Punctuation
이용,이용,이용,Noun
위해,위해,위해,Noun
OTP,OTP,OTP,Alpha
번호,번호,번호,Noun
입력,입력,입력,Noun
해,해,하다,Verb
주셔야,주셔야,주다,Verb
합니다,합니다,하다,Verb
.,.,.,Punctuation
1년,1년,1년,Number
미접,미접,미접,Noun
속,속,속,Noun
시,시,시,Noun
관련,관련,관련,Noun
법령,법령,법령,Noun
계정,계정,계정,Noun
휴면,휴면,휴면,Noun
상태,상태,상태,Noun
변경,변경,변경,Noun
되며,되며,되다,Verb
",",",",",",Punctuation
가입,가입,가입,Noun
하신,하신,하다,Verb
보안,보안,보안,Noun
서비스,서비스,서비스,Noun
도,도,도,Josa
해제,해제,해제,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
보안,보안,보안,Noun
서비스,서비스,서비스,Noun
가입,가입,가입,Noun
하셨더라도,하셨더라도,하다,Verb
휴면,휴면,휴면,Noun
계정,계정,계정,Noun
다시,다시,다시,Noun
사용,사용,사용,Noun
하시는,하시는,하다,Verb
경우,경우,경우,Noun
에는,에는,에는,Josa
보안,보안,보안,Noun
서비스,서비스,서비스,Noun
새로,새로,새롭다,Adjective
가입,가입,가입,Noun
해,해,하다,Verb
주셔야,주셔야,주다,Verb
합니다,합니다,하다,Verb
.,.,.,Punctuation
고스톱,고스톱,고스톱,Noun
포커,포커,포커,Noun
바둑,바둑,바둑,Noun
장기,장기,장기,Noun
게임,게임,게임,Noun
에는,에는,에는,Josa
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
적용,적용,적용,Noun
되지,되지,되다,Verb
않습니다,않습니다,않다,Verb
.,.,.,Punctuation
고객,고객,고객,Noun
님,님,님,Suffix
소중한,소중한,소중하다,Adjective
자산,자산,자산,Noun
보호,보호,보호,Noun
하기,하기,하다,Verb
위해,위해,위해,Noun
개인,개인,개인,Noun
암호,암호,암호,Noun
또는,또는,또는,Adverb
보안,보안,보안,Noun
SMS,SMS,SMS,Alpha
이용,이용,이용,Noun
해,해,하다,Verb
주,주,주,Modifier
시기,시기,시기,Noun
바랍니다,바랍니다,바라다,Verb
.,.,.,Punctuation
사용,사용,사용,Noun
기,기,기,Modifier
기별,기별,기별,Noun
OTP,OTP,OTP,Alpha
프로그램,프로그램,프로그램,Noun
다운로드,다운로드,다운로드,Noun
방법,방법,방법,Noun
기기,기기,기기,Noun
OTP,OTP,OTP,Alpha
프로그램,프로그램,프로그램,Noun
다운,다운,다운,Noun
방법,방법,방법,Noun
구글,구글,구글,Noun
플레이스토어,플레이스토어,플레이스토어,Noun
접속,접속,접속,Noun
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
구글,구글,구글,Noun
오티피,오티피,오티피,Noun
검색,검색,검색,Noun
하여,하여,하다,Verb
검색,검색,검색,Noun
된,된,되다,Verb
프로그램,프로그램,프로그램,Noun
설치,설치,설치,Noun
다운로드,다운로드,다운로드,Noun
링크,링크,링크,Noun
https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2,https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2,https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2,URL
애플,애플,애플,Noun
앱스토어,앱스토어,앱스토어,Noun
접속,접속,접속,Noun
Google,Google,Google,Alpha
Authenticator,Authenticator,Authenticator,Alpha
구글,구글,구글,Noun
OTP,OTP,OTP,Alpha
구글,구글,구글,Noun
오티피,오티피,오티피,Noun
검색,검색,검색,Noun
하여,하여,하다,Verb
검색,검색,검색,Noun
된,된,되다,Verb
