surface,normalized,dictionary,pos
개인정보,개인정보,개인정보,Noun
취급,취급,취급,Noun
방침,방침,방침,Noun
정보통신망,정보통신망,정보통신망,Noun
이용,이용,이용,Noun
촉진,촉진,촉진,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
관련,관련,관련,Noun
법률,법률,법률,Noun
의한,의한,의하다,Adjective
개인정보,개인정보,개인정보,Noun
보호,보호,보호,Noun
규정,규정,규정,Noun
정보통신부,정보통신부,정보통신부,Noun
제정,제정,제정,Noun
한,한,한,Josa
개인정보,개인정보,개인정보,Noun
지침,지침,지침,Noun
준수,준수,준수,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
1,1,1,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
∙,∙,∙,Foreign
비밀번호,비밀번호,비밀번호,Noun
",",",",",",Punctuation
생년,생년,생년,Noun
월일,월일,월일,Noun
",",",",",",Punctuation
성별,성별,성별,Noun
",",",",",",Punctuation
로그인,로그인,로그인,Noun
ID,ID,ID,Alpha
",",",",",",Punctuation
이름,이름,이름,Noun
",",",",",",Punctuation
이메일,이메일,이메일,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
시,시,시,Noun
사용자,사용자,사용자,Noun
확인,확인,확인,Noun
",",",",",",Punctuation
중복,중복,중복,Noun
가입,가입,가입,Noun
방지,방지,방지,Noun
",",",",",",Punctuation
부정,부정,부정,Noun
이용,이용,이용,Noun
방지,방지,방지,Noun
위,위,위,Noun
한,한,한,Josa
목적,목적,목적,Noun
사용,사용,사용,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
∙,∙,∙,Foreign
홈페이지,홈페이지,홈페이지,Noun
주소,주소,주소,Noun
서비스,서비스,서비스,Noun
정확하게,정확하게,정확하다,Adjective
제공,제공,제공,Noun
하기,하기,하다,Verb
위,위,위,Noun
한,한,한,Josa
목적,목적,목적,Noun
사용,사용,사용,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
∙,∙,∙,Foreign
이용자,이용자,이용자,Noun
IP,IP,IP,Alpha
주소,주소,주소,Noun
",",",",",",Punctuation
접속,접속,접속,Noun
기록,기록,기록,Noun
불량,불량,불량,Noun
회원,회원,회원,Noun
부정,부정,부정,Noun
이용,이용,이용,Noun
방지,방지,방지,Noun
비,비,비,Noun
인가,인가,인가,Josa
사용,사용,사용,Noun
방지,방지,방지,Noun
",",",",",",Punctuation
통계학,통계학,통계학,Noun
적,적,적,Suffix
분석,분석,분석,Noun
사용,사용,사용,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
항목,항목,항목,Noun
원활한,원활한,원활하다,Adjective
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
고객,고객,고객,Noun
과의,과의,과의,Josa
소통,소통,소통,Noun
위해,위해,위해,Noun
수집,수집,수집,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
∙,∙,∙,Foreign
필수,필수,필수,Noun
항목,항목,항목,Noun
비밀번호,비밀번호,비밀번호,Noun
",",",",",",Punctuation
생년,생년,생년,Noun
월일,월일,월일,Noun
",",",",",",Punctuation
성별,성별,성별,Noun
",",",",",",Punctuation
로그인,로그인,로그인,Noun
ID,ID,ID,Alpha
",",",",",",Punctuation
이름,이름,이름,Noun
",",",",",",Punctuation
이메일,이메일,이메일,Noun
∙,∙,∙,Foreign
자동,자동,자동,Noun
수집,수집,수집,Noun
항목,항목,항목,Noun
IP,IP,IP,Alpha
주소,주소,주소,Noun
",",",",",",Punctuation
접속,접속,접속,Noun
기록,기록,기록,Noun
",",",",",",Punctuation
쿠키,쿠키,쿠키,Noun
3,3,3,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
보유,보유,보유,Noun
이용기,이용기,이용기,Noun
간,간,간,Suffix
가입,가입,가입,Noun
회원정보,회원정보,회원정보,Noun
는,는,는,Josa
탈퇴,탈퇴,탈퇴,Noun
할,할,하다,Verb
시,시,시,Noun
5년,5년,5년,Number
간,간,간,Foreign
보관,보관,보관,Noun
후,후,후,Noun
파기,파기,파기,Noun
됩니다,됩니다,되다,Verb
.,.,.,Punctuation
단,단,단,Noun
게시,게시,게시,Noun
물,물,물,Noun
에서의,에서의,에서의,Josa
개인정보,개인정보,개인정보,Noun
닉네임,닉네임,닉네임,Noun
는,는,늘다,Verb
사이트,사이트,사이트,Noun
폐쇄,폐쇄,폐쇄,Noun
시,시,시,Noun
보관,보관,보관,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
