surface,normalized,dictionary,pos
기업,기업,기업,Noun
서비스,서비스,서비스,Noun
홈,홈,홈,Noun
소설,소설,소설,Noun
닷컴,닷컴,닷컴,Suffix
info,info,info,Alpha
더,더,더,Noun
자세한,자세한,자세하다,Adjective
이용,이용,이용,Noun
방법,방법,방법,Noun
궁금하세요,궁금하세요,궁금하다,Adjective
기업,기업,기업,Noun
회원,회원,회원,Noun
이용,이용,이용,Noun
가이드,가이드,가이드,Noun
→,→,→,Foreign
기업,기업,기업,Noun
교육,교육,교육,Noun
혜택,혜택,혜택,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
1,1,1,Number
.,.,.,Punctuation
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
목적,목적,목적,Noun
앵,앵,앵,Adverb
커리어,커리어,커리어,Noun
주식회사,주식회사,주식회사,Noun
운영,운영,운영,Noun
하는,하는,하다,Verb
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
채용,채용,채용,Noun
정보,정보,정보,Noun
공유,공유,공유,Noun
사이트,사이트,사이트,Noun
인,인,인,Josa
소설,소설,소설,Noun
닷컴,닷컴,닷컴,Suffix
은,은,은,Josa
이하,이하,이하,Noun
서비스,서비스,서비스,Noun
”,”,”,Foreign
채용,채용,채용,Noun
활동,활동,활동,Noun
지원,지원,지원,Noun
위,위,위,Noun
하여,하여,하다,Verb
개인정보,개인정보,개인정보,Noun
수집,수집,수집,Noun
하고,하고,하고,Josa
있으며,있으며,있다,Adjective
수집,수집,수집,Noun
된,된,되다,Verb
정보,정보,정보,Noun
아래,아래,아래,Noun
이용,이용,이용,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
이용자,이용자,이용자,Noun
제공,제공,제공,Noun
한,한,한,Josa
모든,모든,모든,Noun
정보,정보,정보,Noun
는,는,는,Josa
아래,아래,아래,Noun
목적,목적,목적,Noun
필요한,필요한,필요하다,Adjective
용도,용도,용도,Noun
이외,이외,이외,Noun
로는,로는,로는,Josa
사용,사용,사용,Noun
되지,되지,되다,Verb
않으며,않으며,않다,Verb
이용,이용,이용,Noun
목적,목적,목적,Noun
변경,변경,변경,Noun
될,될,되다,Verb
시,시,시,Noun
에는,에는,에는,Josa
사전,사전,사전,Noun
동의,동의,동의,Noun
할,할,하다,Verb
입니다,입니다,이다,Adjective
.,.,.,Punctuation
1,1,1,Number
회원,회원,회원,Noun
관리,관리,관리,Noun
회원,회원,회원,Noun
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
따른,따른,따르다,Verb
본인,본인,본인,Noun
확인,확인,확인,Noun
",",",",",",Punctuation
본인,본인,본인,Noun
의사,의사,의사,Noun
확인,확인,확인,Noun
",",",",",",Punctuation
고객,고객,고객,Noun
문의,문의,문의,Noun
대한,대한,대한,Noun
응답,응답,응답,Noun
",",",",",",Punctuation
새로운,새로운,새롭다,Adjective
정보,정보,정보,Noun
소개,소개,소개,Noun
고지,고지,고지,Noun
사항,사항,사항,Noun
전달,전달,전달,Noun
2,2,2,Number
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
관,관,관,Noun
한,한,한,Josa
계약,계약,계약,Noun
이행,이행,이행,Noun
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
따른,따른,따르다,Verb
요,요,요,Modifier
금정산,금정산,금정산,Noun
본인,본인,본인,Noun
인증,인증,인증,Noun
",",",",",",Punctuation
채용정보,채용정보,채용정보,Noun
매칭,매칭,매칭,Noun
컨텐츠,컨텐츠,컨텐츠,Noun
제공,제공,제공,Noun
위,위,위,Noun
한,한,한,Josa
개인,개인,개인,Noun
식별,식별,식별,Noun
",",",",",",Punctuation
회원,회원,회원,Noun
간,간,간,Suffix
상호,상호,상호,Noun
연락,연락,연락,Noun
",",",",",",Punctuation
구매,구매,구매,Noun
요금,요금,요금,Noun
결제,결제,결제,Noun
",",",",",",Punctuation
물품,물품,물품,Noun
증빙,증빙,증빙,Noun
발송,발송,발송,Noun
",",",",",",Punctuation
부정,부정,부정,Noun
이용,이용,이용,Noun
방지,방지,방지,Noun
비,비,비,Noun
인가,인가,인가,Josa
사용,사용,사용,Noun
방지,방지,방지,Noun
3,3,3,Number
서비스,서비스,서비스,Noun
개발,개발,개발,Noun
마케팅,마케팅,마케팅,Noun
ㆍ,ㆍ,ㆍ,Foreign
광고,광고,광고,Noun
에의,에의,에의,Josa
활용,활용,활용,Noun
맞춤,맞춤,맞춤,Noun
서비스,서비스,서비스,Noun
제공,제공,제공,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
안내,안내,안내,Noun
이용,이용,이용,Noun
권유,권유,권유,Noun
",",",",",",Punctuation
서비스,서비스,서비스,Noun
개선,개선,개선,Noun
신규,신규,신규,Noun
서비스,서비스,서비스,Noun
개발,개발,개발,Noun
위,위,위,Noun
한,한,한,Josa
통계,통계,통계,Noun
접속,접속,접속,Noun
빈도,빈도,빈도,Noun
파악,파악,파악,Noun
",",",",",",Punctuation
통계학,통계학,통계학,Noun
적,적,적,Suffix
특성,특성,특성,Noun
따른,따른,따르다,Verb
광고,광고,광고,Noun
게재,게재,게재,Noun
",",",",",",Punctuation
이벤트,이벤트,이벤트,Noun
정보,정보,정보,Noun
참여,참여,참여,Noun
기회,기회,기회,Noun
제공,제공,제공,Noun
4,4,4,Number
고용,고용,고용,Noun
취업,취업,취업,Noun
동향,동향,동향,Noun
파악,파악,파악,Noun
위,위,위,Noun
한,한,한,Josa
통계학,통계학,통계학,Noun
적,적,적,Suffix
분석,분석,분석,Noun
2,2,2,Number
.,.,.,Punctuation
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
수집,수집,수집,Noun
방법,방법,방법,Noun
.,.,.,Punctuation
수집,수집,수집,Noun
하는,하는,하다,Verb
개인정보,개인정보,개인정보,Noun
항목,항목,항목,Noun
1,1,1,Number
회원,회원,회원,Noun
가입,가입,가입,Noun
시,시,시,Noun
수집,수집,수집,Noun
하는,하는,하다,Verb
항목,항목,항목,Noun
①,①,①,Foreign
개인,개인,개인,Noun
회원,회원,회원,Noun
필수,필수,필수,Noun
항목,항목,항목,Noun
아이디,아이디,아이디,Noun
E,E,E,Alpha
Mail,Mail,Mail,Alpha
비밀번호,비밀번호,비밀번호,Noun
",",",",",",Punctuation
성별,성별,성별,Noun
",",",",",",Punctuation
출생,출생,출생,Noun
년도,년도,년도,Noun
",",",",",",Punctuation
관심,관심,관심,Noun
직무,직무,직무,Noun
",",",",",",Punctuation
최종,최종,최종,Noun
학력,학력,학력,Noun
정보,정보,정보,Noun
페이스북,페이스북,페이스북,Noun
외부,외부,외부,Noun
서비스,서비스,서비스,Noun
와의,와의,와의,Josa
연동,연동,연동,Noun
통해,통해,통해,Noun
이용자,이용자,이용자,Noun
설정,설정,설정,Noun
한,한,한,Josa
계정,계정,계정,Noun
정보,정보,정보,Noun
②,②,②,Foreign
기업,기업,기업,Noun
회원,회원,회원,Noun
필수,필수,필수,Noun
