surface,normalized,dictionary,pos
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
고,고,고,Modifier
프로,프로,프로,Noun
골프,골프,골프,Noun
1,1,1,Number
day,day,day,Alpha
close,close,close,Alpha
1,1,1,Number
day,day,day,Alpha
close,close,close,Alpha
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
마이,마이,마이,Noun
쇼핑,쇼핑,쇼핑,Noun
1:1,1:1,1:1,Number
문의,문의,문의,Noun
분류,분류,분류,Noun
검색,검색,검색,Noun
장바구니,장바구니,장바구니,Noun
0,0,0,Number
회원,회원,회원,Noun
로그인,로그인,로그인,Noun
로그인,로그인,로그인,Noun
회원,회원,회원,Noun
가입,가입,가입,Noun
카테고리,카테고리,카테고리,Noun
닫기,닫기,닫다,Verb
히트,히트,히트,Noun
상품,상품,상품,Noun
추천,추천,추천,Noun
상품,상품,상품,Noun
최신,최신,최신,Noun
상품,상품,상품,Noun
인기,인기,인기,Noun
상품,상품,상품,Noun
할인,할인,할인,Noun
상품,상품,상품,Noun
건강,건강,건강,Noun
UP,UP,UP,Alpha
봄,봄,봄,Noun
상품,상품,상품,Noun
봄,봄,봄,Noun
상품,상품,상품,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
골프,골프,골프,Noun
화,화,화,Suffix
폴라,폴라,폴라,Noun
티,티,티,Noun
목,목,목,Noun
토시,토시,토시,Noun
마스크,마스크,마스크,Noun
장갑,장갑,장갑,Noun
양말,양말,양말,Noun
파크,파크,파크,Noun
골프,골프,골프,Noun
파크,파크,파크,Noun
골프,골프,골프,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
파크,파크,파크,Noun
골프,골프,골프,Noun
용품,용품,용품,Noun
파크,파크,파크,Noun
골프,골프,골프,Noun
화,화,화,Suffix
쿨목,쿨목,쿨목,Noun
토시,토시,토시,Noun
마스크,마스크,마스크,Noun
폴라,폴라,폴라,Noun
티,티,티,Noun
골프,골프,골프,Noun
화,화,화,Suffix
골프,골프,골프,Noun
화,화,화,Suffix
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
계용,계용,계용,Noun
동계,동계,동계,Noun
용,용,용,Noun
코스,코스,코스,Noun
관리,관리,관리,Noun
과용,과용,과용,Noun
깔창,깔창,깔창,Noun
징,징,징,Noun
세,세,세,Modifier
상품,상품,상품,Noun
폴라,폴라,폴라,Noun
티,티,티,Noun
폴라,폴라,폴라,Noun
티,티,티,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
쿨,쿨,쿨,Noun
폴라,폴라,폴라,Noun
쿨론,쿨론,쿨론,Noun
폴라,폴라,폴라,Noun
면,면,면,Noun
폴라,폴라,폴라,Noun
겨울,겨울,겨울,Noun
용,용,용,Noun
장갑,장갑,장갑,Noun
목,목,목,Noun
토시,토시,토시,Noun
장갑,장갑,장갑,Noun
목,목,목,Noun
토시,토시,토시,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
흰색,흰색,흰색,Noun
장갑,장갑,장갑,Noun
검정,검정,검정,Noun
장갑,장갑,장갑,Noun
쿨목,쿨목,쿨목,Noun
토시,토시,토시,Noun
기,기,기,Modifier
목,목,목,Noun
토시,토시,토시,Noun
마스크,마스크,마스크,Noun
타,타,타,Modifier
올,올,올,Modifier
양말,양말,양말,Noun
타,타,타,Modifier
올,올,올,Modifier
양말,양말,양말,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
열기,열기,열기,Noun
면,면,면,Noun
타,타,타,Modifier
올,올,올,Modifier
극세사,극세사,극세사,Noun
타,타,타,Modifier
올,올,올,Modifier
면땀,면땀,면땀,Noun
타,타,타,Modifier
올,올,올,Modifier
극세사,극세사,극세사,Noun
땀,땀,땀,Noun
타,타,타,Modifier
올,올,올,Modifier
와이어,와이어,와이어,Noun
타,타,타,Modifier
올,올,올,Modifier
여름,여름,여름,Noun
양말,양말,양말,Noun
겨울,겨울,겨울,Noun
양말,양말,양말,Noun
발,발,발,Noun
토시,토시,토시,Noun
내의,내의,내의,Noun
레깅스,레깅스,레깅스,Noun
내의,내의,내의,Noun
레깅스,레깅스,레깅스,Noun
하위,하위,하위,Noun
분류,분류,분류,Noun
