surface,normalized,dictionary,pos
1,1,1,Number
조,조,조,Noun
목적,목적,목적,Noun
본,본,보다,Verb
약관,약관,약관,Noun
은,은,은,Josa
주식회사,주식회사,주식회사,Noun
그립,그립,그리다,Verb
컴퍼니,컴퍼니,컴퍼니,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
제공,제공,제공,Noun
하는,하는,하다,Verb
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
대해,대해,대해,Noun
회사,회사,회사,Noun
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
하는,하는,하다,Verb
개인,개인,개인,Noun
위치,위치,위치,Noun
정보,정보,정보,Noun
주체,주체,주체,Noun
이하,이하,이하,Noun
이용자,이용자,이용자,Noun
간의,간의,간의,Noun
권리,권리,권리,Noun
의무,의무,의무,Noun
책임,책임,책임,Noun
사항,사항,사항,Noun
",",",",",",Punctuation
필요한,필요한,필요하다,Adjective
사항,사항,사항,Noun
규정,규정,규정,Noun
목적,목적,목적,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
2,2,2,Number
조,조,조,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
효력,효력,효력,Noun
변경,변경,변경,Noun
①,①,①,Foreign
본,본,보다,Verb
약관,약관,약관,Noun
은,은,은,Josa
이용자,이용자,이용자,Noun
본,본,보다,Verb
약관,약관,약관,Noun
동의,동의,동의,Noun
하고,하고,하고,Josa
회사,회사,회사,Noun
정,정,정,Noun
한,한,한,Josa
절차,절차,절차,Noun
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
이용자,이용자,이용자,Noun
등록,등록,등록,Noun
됨으로써,됨으로써,되다,Verb
효력,효력,효력,Noun
발생,발생,발생,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
②,②,②,Foreign
이용자,이용자,이용자,Noun
본,본,보다,Verb
약관,약관,약관,Noun
동의,동의,동의,Noun
하기,하기,하다,Verb
”,”,”,Foreign
버튼,버튼,버튼,Noun
클릭,클릭,클릭,Noun
하였을,하였을,하다,Verb
경우,경우,경우,Noun
본,본,보다,Verb
약관,약관,약관,Noun
내용,내용,내용,Noun
읽고,읽고,읽다,Verb
이를,이를,이르다,Verb
충분히,충분히,충분하다,Adjective
이해,이해,이해,Noun
하였으며,하였으며,하다,Verb
",",",",",",Punctuation
적용,적용,적용,Noun
동의,동의,동의,Noun
한,한,한,Josa
봅니다,봅니다,보다,Verb
.,.,.,Punctuation
③,③,③,Foreign
회사,회사,회사,Noun
는,는,는,Josa
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
변경,변경,변경,Noun
사항,사항,사항,Noun
반영,반영,반영,Noun
하기,하기,하다,Verb
위,위,위,Noun
한,한,한,Josa
목적,목적,목적,Noun
필요한,필요한,필요하다,Adjective
경우,경우,경우,Noun
관련,관련,관련,Noun
법령,법령,법령,Noun
위,위,위,Noun
배하,배하,배하,Noun
지,지,지,Josa
않는,않는,않다,Verb
범위,범위,범위,Noun
본,본,보다,Verb
약관,약관,약관,Noun
수정,수정,수정,Noun
할,할,하다,Verb
수,수,수,Noun
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
본,본,보다,Verb
약관,약관,약관,Noun
변경,변경,변경,Noun
절차,절차,절차,Noun
는,는,는,Josa
그립,그립,그리다,Verb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
2,2,2,Number
조를,조를,조르다,Verb
준용,준용,준용,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
④,④,④,Foreign
회사,회사,회사,Noun
전,전,전,Modifier
항,항,항,Noun
공지,공지,공지,Noun
또는,또는,또는,Adverb
통지,통지,통지,Noun
거부,거부,거부,Noun
의사,의사,의사,Noun
표시,표시,표시,Noun
하지,하지,하다,Verb
아니하면,아니하면,아니다,Adjective
승인,승인,승인,Noun
한,한,한,Josa
본다는,본다는,보다,Verb
뜻,뜻,뜻,Noun
명확하게,명확하게,명확하다,Adjective
고지,고지,고지,Noun
하였음에도,하였음에도,하다,Verb
이용자,이용자,이용자,Noun
의사표시,의사표시,의사표시,Noun
없는,없는,없다,Adjective
경우,경우,경우,Noun
에는,에는,에는,Josa
변경,변경,변경,Noun
된,된,되다,Verb
약관,약관,약관,Noun
승인,승인,승인,Noun
한,한,한,Josa
봅니다,봅니다,보다,Verb
.,.,.,Punctuation
이용자,이용자,이용자,Noun
개정,개정,개정,Noun
약관,약관,약관,Noun
동의,동의,동의,Noun
하지,하지,하다,Verb
않을,않을,않다,Verb
경우,경우,경우,Noun
본,본,보다,Verb
약관,약관,약관,Noun
대한,대한,대한,Noun
동의,동의,동의,Noun
철회,철회,철회,Noun
할,할,하다,Verb
수,수,수,Noun
있고,있고,있다,Adjective
경우,경우,경우,Noun
더,더,더,Noun
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
할,할,하다,Verb
수,수,수,Noun
없습니다,없습니다,없다,Adjective
.,.,.,Punctuation
3,3,3,Number
조,조,조,Noun
약관,약관,약관,Noun
외,외,외,Noun
준칙,준칙,준칙,Noun
약관,약관,약관,Noun
명시,명시,명시,Noun
되지,되지,되다,Verb
않은,않은,않다,Verb
사항,사항,사항,Noun
대해,대해,대해,Noun
서는,서는,서다,Verb
위치,위치,위치,Noun
정보,정보,정보,Noun
보호,보호,보호,Noun
이용,이용,이용,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
관계,관계,관계,Noun
법령,법령,법령,Noun
",",",",",",Punctuation
그립,그립,그리다,Verb
서비스,서비스,서비스,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
",",",",",",Punctuation
판매,판매,판매,Noun
이용,이용,이용,Noun
약관,약관,약관,Noun
회사,회사,회사,Noun
고지,고지,고지,Noun
한,한,한,Josa
정책,정책,정책,Noun
규정,규정,규정,Noun
따릅니다,따릅니다,따르다,Verb
.,.,.,Punctuation
본,본,보다,Verb
약관,약관,약관,Noun
회사,회사,회사,Noun
약관,약관,약관,Noun
정책,정책,정책,Noun
충돌,충돌,충돌,Noun
하는,하는,하다,Verb
경우,경우,경우,Noun
위치,위치,위치,Noun
기,기,기,Modifier
반,반,반,Modifier
서비스,서비스,서비스,Noun
관,관,관,Noun
한,한,한,Josa
내용,내용,내용,Noun
은,은,은,Josa
본,본,보다,Verb
약관,약관,약관,Noun
우선합니다,우선합니다,우선하다,Adjective
.,.,.,Punctuation
4,4,4,Number
조,조,조,Noun
서비스,서비스,서비스,Noun
내용,내용,내용,Noun
회사,회사,회사,Noun
는,는,는,Josa
위치,위치,위치,Noun
정보,정보,정보,Noun
사업자,사업자,사업자,Noun
으로부터,으로부터,으로부터,Josa
수집,수집,수집,Noun
한,한,한,Josa
이용자,이용자,이용자,Noun
위치,위치,위치,Noun
정보,정보,정보,Noun
이용,이용,이용,Noun
하여,하여,하다,Verb
아래,아래,아래,Noun
같은,같은,같다,Adjective
위치,위치,위치,Noun
