surface,normalized,dictionary,pos
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
직방,직방,직방,Noun
개인정보,개인정보,개인정보,Noun
처리,처리,처리,Noun
방침,방침,방침,Noun
시행일,시행일,시행일,Noun
2024년,2024년,2024년,Number
01월,01월,01월,Number
12일,12일,12일,Number
이전,이전,이전,Noun
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
보기,보기,보기,Noun
2024년,2024년,2024년,Number
01월,01월,01월,Number
12일,12일,12일,Number
2023년,2023년,2023년,Number
09월,09월,09월,Number
21일,21일,21일,Number
2023년,2023년,2023년,Number
06월,06월,06월,Number
01일,01일,01일,Number
2023년,2023년,2023년,Number
01월,01월,01월,Number
31일,31일,31일,Number
2022년,2022년,2022년,Number
10월,10월,10월,Number
12일,12일,12일,Number
2022년,2022년,2022년,Number
07월,07월,07월,Number
27일,27일,27일,Number
2022년,2022년,2022년,Number
05월,05월,05월,Number
27일,27일,27일,Number
2021년,2021년,2021년,Number
12월,12월,12월,Number
14일,14일,14일,Number
2021년,2021년,2021년,Number
06월,06월,06월,Number
01일,01일,01일,Number
2021년,2021년,2021년,Number
02월,02월,02월,Number
11일,11일,11일,Number
2020년,2020년,2020년,Number
12월,12월,12월,Number
31일,31일,31일,Number
2020년,2020년,2020년,Number
08월,08월,08월,Number
27일,27일,27일,Number
2020년,2020년,2020년,Number
05월,05월,05월,Number
01일,01일,01일,Number
2020년,2020년,2020년,Number
02월,02월,02월,Number
27일,27일,27일,Number
2019년,2019년,2019년,Number
10월,10월,10월,Number
15일,15일,15일,Number
2019년,2019년,2019년,Number
09월,09월,09월,Number
04일,04일,04일,Number
2019년,2019년,2019년,Number
08월,08월,08월,Number
19일,19일,19일,Number
2019년,2019년,2019년,Number
07월,07월,07월,Number
02일,02일,02일,Number
2019년,2019년,2019년,Number
05월,05월,05월,Number
31일,31일,31일,Number
2019년,2019년,2019년,Number
03월,03월,03월,Number
18일,18일,18일,Number
2018년,2018년,2018년,Number
08월,08월,08월,Number
17일,17일,17일,Number
2018년,2018년,2018년,Number
01월,01월,01월,Number
24일,24일,24일,Number
2017년,2017년,2017년,Number
10월,10월,10월,Number
06일,06일,06일,Number
2017년,2017년,2017년,Number
07월,07월,07월,Number
19일,19일,19일,Number
2017년,2017년,2017년,Number
01월,01월,01월,Number
11일,11일,11일,Number
2016년,2016년,2016년,Number
09월,09월,09월,Number
28일,28일,28일,Number
2016년,2016년,2016년,Number
05월,05월,05월,Number
03일,03일,03일,Number
2015년,2015년,2015년,Number
11월,11월,11월,Number
08일,08일,08일,Number
2015년,2015년,2015년,Number
10월,10월,10월,Number
15일,15일,15일,Number
2015년,2015년,2015년,Number
09월,09월,09월,Number
10일,10일,10일,Number
2015년,2015년,2015년,Number
08월,08월,08월,Number
26일,26일,26일,Number
2012년,2012년,2012년,Number
01월,01월,01월,Number
17일,17일,17일,Number
1,1,1,Number
장,장,장,Noun
총칙,총칙,총칙,Noun
1조,1조,1조,Number
목적,목적,목적,Noun
주,주,주,Noun
직방,직방,직방,Noun
이하,이하,이하,Noun
회사,회사,회사,Noun
”,”,”,Foreign
라,라,라,Josa
함,함,함,Noun
은,은,은,Noun
이용자,이용자,이용자,Noun
개인정보,개인정보,개인정보,Noun
소중하게,소중하게,소중하다,Adjective
생각,생각,생각,Noun
하고,하고,하고,Josa
",",",",",",Punctuation
보호,보호,보호,Noun
하기,하기,하다,Verb
위,위,위,Noun
하여,하여,하다,Verb
항상,항상,항상,Noun
최선,최선,최선,Noun
다해,다해,다해,Noun
노력,노력,노력,Noun
하고,하고,하고,Josa
있습니다,있습니다,있다,Adjective
.,.,.,Punctuation
회사,회사,회사,Noun
는,는,는,Josa
「,「,「,Foreign
개인정보보호법,개인정보보호법,개인정보보호법,Noun
」,」,」,Foreign
비롯,비롯,비롯,Noun
한,한,한,Josa
모든,모든,모든,Noun
개인,개인,개인,Noun
정보보호,정보보호,정보보호,Noun
관련,관련,관련,Noun
법률,법률,법률,Noun
규정,규정,규정,Noun
준수,준수,준수,Noun
하고,하고,하고,Josa
있으며,있으며,있다,Adjective
",",",",",",Punctuation
관련,관련,관련,Noun
법령,법령,법령,Noun
의거,의거,의거,Noun
한,한,한,Josa
개인,개인,개인,Noun
정보처리,정보처리,정보처리,Noun
방침,방침,방침,Noun
정,정,정,Noun
