surface,normalized,dictionary,pos
카카오,카카오,카카오,Noun
페이,페이,페이,Noun
증권,증권,증권,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
kakaopay,kakaopay,kakaopay,Alpha
securities,securities,securities,Alpha
회사,회사,회사,Noun
소개,소개,소개,Noun
회사,회사,회사,Noun
개요,개요,개요,Noun
비즈니스,비즈니스,비즈니스,Noun
개인,개인,개인,Noun
금융,금융,금융,Noun
서비스,서비스,서비스,Noun
기업,기업,기업,Noun
금융,금융,금융,Noun
서비스,서비스,서비스,Noun
경영정보,경영정보,경영정보,Noun
정기,정기,정기,Noun
보고서,보고서,보고서,Noun
공시,공시,공시,Noun
정보,정보,정보,Noun
리서치,리서치,리서치,Noun
투자,투자,투자,Noun
전략,전략,전략,Noun
퀀트,퀀트,퀀트,Noun
산업,산업,산업,Noun
기업,기업,기업,Noun
분석,분석,분석,Noun
제외,제외,제외,Noun
종목,종목,종목,Noun
고객,고객,고객,Noun
센터,센터,센터,Noun
소비자보호,소비자보호,소비자보호,Noun
포털,포털,포털,Noun
계좌,계좌,계좌,Noun
개설,개설,개설,Noun
안내,안내,안내,Noun
탁금,탁금,탁금,Noun
이용,이용,이용,Noun
안내,안내,안내,Noun
수수료,수수료,수수료,Noun
안내,안내,안내,Noun
상속,상속,상속,Noun
업무,업무,업무,Noun
안내,안내,안내,Noun
신,신,신,Modifier
용공,용공,용공,Noun
매매,매매,매매,Noun
관련,관련,관련,Noun
안내,안내,안내,Noun
주식,주식,주식,Noun
판매,판매,판매,Noun
금,금,금,Noun
미리,미리,미리,Noun
받기,받기,받다,Verb
안내,안내,안내,Noun
업무,업무,업무,Noun
안내,안내,안내,Noun
고객,고객,고객,Noun
유의사항,유의사항,유의사항,Noun
약관,약관,약관,Noun
서식,서식,서식,Noun
주식,주식,주식,Noun
공지,공지,공지,Noun
상품,상품,상품,Noun
공지,공지,공지,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
FAQ,FAQ,FAQ,Alpha
이해,이해,이해,Noun
상,상,상,Suffix
충,충,충,Noun
정보,정보,정보,Noun
교류,교류,교류,Noun
차단,차단,차단,Noun
주요,주요,주요,Modifier
내용,내용,내용,Noun
해외,해외,해외,Noun
주식,주식,주식,Noun
시세,시세,시세,Noun
관련,관련,관련,Noun
유의사항,유의사항,유의사항,Noun
채용정보,채용정보,채용정보,Noun
채용,채용,채용,Noun
공고,공고,공고,Noun
개인정보,개인정보,개인정보,Noun
유의사항,유의사항,유의사항,Noun
신용정보,신용정보,신용정보,Noun
활용,활용,활용,Noun
체제,체제,체제,Noun
v,v,v,Alpha
.,.,.,Punctuation
3,3,3,Number
컴플라이언스,컴플라이언스,컴플라이언스,Noun
팀,팀,팀,Noun
2023.04,2023.04,2023.04,Number
.,.,.,Punctuation
27,27,27,Number
17:21,17:21,17:21,Number
50,50,50,Number
조,조,조,Modifier
회수,회수,회수,Noun
5059,5059,5059,Number
신용정보,신용정보,신용정보,Noun
활용,활용,활용,Noun
체제,체제,체제,Noun
공시,공시,공시,Noun
「,「,「,Foreign
신용정보,신용정보,신용정보,Noun
이용,이용,이용,Noun
보호,보호,보호,Noun
관,관,관,Noun
한,한,한,Josa
법률,법률,법률,Noun
」,」,」,Foreign
31조,31조,31조,Number
의거,의거,의거,Noun
",",",",",",Punctuation
당사,당사,당사,Noun
관리,관리,관리,Noun
하고,하고,하고,Josa
있는,있는,있다,Adjective
신용정보,신용정보,신용정보,Noun
활용,활용,활용,Noun
체제,체제,체제,Noun
대하,대하,대하,Noun
공시,공시,공시,Noun
합니다,합니다,하다,Verb
.,.,.,Punctuation
□,□,□,Foreign
관리,관리,관리,Noun
하는,하는,하다,Verb
신용정보,신용정보,신용정보,Noun
이용,이용,이용,Noun
목적,목적,목적,Noun
종류,종류,종류,Noun
1,1,1,Number
.,.,.,Punctuation
이용,이용,이용,Noun
목적,목적,목적,Noun
▪,▪,▪,Foreign
계약,계약,계약,Noun
체결,체결,체결,Noun
유지,유지,유지,Noun
이행,이행,이행,Noun
관리,관리,관리,Noun
개선,개선,개선,Noun
",",",",",",Punctuation
본인,본인,본인,Noun
확인,확인,확인,Noun
",",",",",",Punctuation
법령,법령,법령,Noun
상,상,상,Suffix
의무,의무,의무,Noun
이행,이행,이행,Noun
",",",",",",Punctuation
금융,금융,금융,Noun
사고,사고,사고,Noun
조사,조사,조사,Noun
",",",",",",Punctuation
분쟁,분쟁,분쟁,Noun
민원,민원,민원,Noun
처리,처리,처리,Noun
",",",",",",Punctuation
통계,통계,통계,Noun
분석,분석,분석,Noun
",",",",",",Punctuation
리스크,리스크,리스크,Noun
관리,관리,관리,Noun
",",",",",",Punctuation
리스크,리스크,리스크,Noun
관리,관리,관리,Noun
",",",",",",Punctuation
고객,고객,고객,Noun
서비스,서비스,서비스,Noun
품질,품질,품질,Noun
향상,향상,향상,Noun
▪,▪,▪,Foreign
신용거래,신용거래,신용거래,Noun
신용,신용,신용,Noun
대출,대출,대출,Noun
미수,미수,미수,Noun
거래,거래,거래,Noun
▪,▪,▪,Foreign
상품,상품,상품,Noun
서비스,서비스,서비스,Noun
홍보,홍보,홍보,Noun
판매,판매,판매,Noun
권유,권유,권유,Noun
상담,상담,상담,Noun
마케팅,마케팅,마케팅,Noun
활용,활용,활용,Noun
",",",",",",Punctuation
경품,경품,경품,Noun
지급,지급,지급,Noun
",",",",",",Punctuation
사은,사은,사은,Noun
품,품,품,Noun
이벤트,이벤트,이벤트,Noun
참여,참여,참여,Noun
",",",",",",Punctuation
금융,금융,금융,Noun
생활,생활,생활,Noun
정보,정보,정보,Noun
제공,제공,제공,Noun
고객,고객,고객,Noun
편의,편의,편의,Noun
제공,제공,제공,Noun
2,2,2,Number
.,.,.,Punctuation
신용정보,신용정보,신용정보,Noun
종류,종류,종류,Noun
.,.,.,Punctuation
식별,식별,식별,Noun
정보,정보,정보,Noun
▪,▪,▪,Foreign
개인,개인,개인,Noun
성명,성명,성명,Noun
주민등록,주민등록,주민등록,Noun
번호,번호,번호,Noun
고유,고유,고유,Noun
식,식,식,Suffix
별,별,별,Modifier
정보,정보,정보,Noun
",",",",",",Punctuation
주소,주소,주소,Noun
",",",",",",Punctuation
연락처,연락처,연락처,Noun
",",",",",",Punctuation
직업,직업,직업,Noun
",",",",",",Punctuation
국적,국적,국적,Noun
외국인,외국인,외국인,Noun
경우,경우,경우,Noun
외국인,외국인,외국인,Noun
등록,등록,등록,Noun
번호,번호,번호,Noun
",",",",",",Punctuation
재외동포,재외동포,재외동포,Noun
경우,경우,경우,Noun
국내,국내,국내,Noun
거소,거소,거소,Noun
신고,신고,신고,Noun
번호,번호,번호,Noun
",",",",",",Punctuation
외국인,외국인,외국인,Noun
등록,등록,등록,Noun
번호,번호,번호,Noun
또는,또는,또는,Adverb
.,.,.,Punctuation
국내,국내,국내,Noun
거소,거소,거소,Noun
신고,신고,신고,Noun
번호,번호,번호,Noun
없는,없는,없다,Adjective
경우,경우,경우,Noun
외국인,외국인,외국인,Noun
재외동포,재외동포,재외동포,Noun
신용정보,신용정보,신용정보,Noun
등록,등록,등록,Noun
번호,번호,번호,Noun
고객,고객,고객,Noun
식별,식별,식별,Noun
ID,ID,ID,Alpha
",",",",",",Punctuation
생년,생년,생년,Noun
월일,월일,월일,Noun
",",",",",",Punctuation
이메일,이메일,이메일,Noun
",",",",",",Punctuation
CI,CI,CI,Alpha
▪,▪,▪,Foreign
개인기업,개인기업,개인기업,Noun
법인,법인,법인,Noun
상호,상호,상호,Noun
",",",",",",Punctuation
사업자,사업자,사업자,Noun
법인,법인,법인,Noun
등록,등록,등록,Noun
번호,번호,번호,Noun
",",",",",",Punctuation
대표자,대표자,대표자,Noun
성명,성명,성명,Noun
.,.,.,Punctuation
신용거래,신용거래,신용거래,Noun
정보,정보,정보,Noun
▪,▪,▪,Foreign
개인,개인,개인,Noun
신용거래,신용거래,신용거래,Noun
정보,정보,정보,Noun
대출,대출,대출,Noun
",",",",",",Punctuation
채무,채무,채무,Noun
보증,보증,보증,Noun
