surface,normalized,dictionary,pos
전주대학교,전주대학교,전주대학교,Noun
민간,민간,민간,Noun
경비,경비,경비,Noun
교육,교육,교육,Noun
센터,센터,센터,Noun
본문,본문,본문,Noun
바로가기,바로가기,바로가기,Noun
주,주,주,Modifier
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
서브,서브,서브,Noun
메뉴,메뉴,메뉴,Noun
바로가기,바로가기,바로가기,Noun
전주대학교,전주대학교,전주대학교,Noun
HOME,HOME,HOME,Alpha
LOGIN,LOGIN,LOGIN,Alpha
센터,센터,센터,Noun
안내,안내,안내,Noun
센터,센터,센터,Noun
안내,안내,안내,Noun
인사말,인사말,인사말,Noun
오시는길,오시는길,오다,Verb
일반,일반,일반,Noun
경비원,경비원,경비원,Noun
신임,신임,신임,Noun
교육과정,교육과정,교육과정,Noun
일반,일반,일반,Noun
경비원,경비원,경비원,Noun
신임,신임,신임,Noun
교육과정,교육과정,교육과정,Noun
모집,모집,모집,Noun
요강,요강,요강,Noun
교육,교육,교육,Noun
운영,운영,운영,Noun
교육,교육,교육,Noun
신청,신청,신청,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
Q,Q,Q,Alpha
A,A,A,Alpha
센터,센터,센터,Noun
안내,안내,안내,Noun
인사말,인사말,인사말,Noun
오시는길,오시는길,오다,Verb
일반,일반,일반,Noun
경비원,경비원,경비원,Noun
신임,신임,신임,Noun
교육과정,교육과정,교육과정,Noun
모집,모집,모집,Noun
요강,요강,요강,Noun
교육,교육,교육,Noun
운영,운영,운영,Noun
교육,교육,교육,Noun
신청,신청,신청,Noun
커뮤니티,커뮤니티,커뮤니티,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
Q,Q,Q,Alpha
A,A,A,Alpha
prev,prev,prev,Alpha
next,next,next,Alpha
공지,공지,공지,Noun
사항,사항,사항,Noun
민간,민간,민간,Noun
경비,경비,경비,Noun
교육,교육,교육,Noun
센터,센터,센터,Noun
계,계,계,Noun
방학,방학,방학,Noun
중,중,중,Noun
운영,운영,운영,Noun
휴무,휴무,휴무,Noun
안내,안내,안내,Noun
06-13,06-13,06-13,Number
민간,민간,민간,Noun
경비,경비,경비,Noun
교육,교육,교육,Noun
센터,센터,센터,Noun
홈페이지,홈페이지,홈페이지,Noun
통한,통한,통한,Noun
일정,일정,일정,Noun
확인,확인,확인,Noun
교육,교육,교육,Noun
신청,신청,신청,Noun
방법,방법,방법,Noun
06-15,06-15,06-15,Number
민간,민간,민간,Noun
경비,경비,경비,Noun
교육,교육,교육,Noun
센터,센터,센터,Noun
운영,운영,운영,Noun
휴무,휴무,휴무,Noun
안내,안내,안내,Noun
12-20,12-20,12-20,Number
더,더,더,Noun
보기,보기,보기,Noun
Q,Q,Q,Alpha
A,A,A,Alpha
RE,RE,RE,Alpha
시험,시험,시험,Noun
문제,문제,문제,Noun
답안,답안,답안,Noun
관,관,관,Noun
하여,하여,하다,Verb
09-05,09-05,09-05,Number
시험,시험,시험,Noun
문제,문제,문제,Noun
답안,답안,답안,Noun
관,관,관,Noun
하여,하여,하다,Verb
08-21,08-21,08-21,Number
RE,RE,RE,Alpha
교육,교육,교육,Noun
신청,신청,신청,Noun
하였습니다,하였습니다,하다,Verb
.,.,.,Punctuation
08-02,08-02,08-02,Number
교육,교육,교육,Noun
신청,신청,신청,Noun
하였습니다,하였습니다,하다,Verb
.,.,.,Punctuation
07-20,07-20,07-20,Number
더,더,더,Noun
보기,보기,보기,Noun
Basic,Basic,Basic,Alpha
Popup,Popup,Popup,Alpha
창,창,창,Noun
닫기,닫기,닫다,Verb
하루,하루,하루,Noun
창,창,창,Noun
닫기,닫기,닫다,Verb
Basic,Basic,Basic,Alpha
Popup,Popup,Popup,Alpha
창,창,창,Noun
닫기,닫기,닫다,Verb
하루,하루,하루,Noun
창,창,창,Noun
닫기,닫기,닫다,Verb
홈페이지,홈페이지,홈페이지,Noun
바로가기,바로가기,바로가기,Noun
홈페이지,홈페이지,홈페이지,Noun
바로가기,바로가기,바로가기,Noun
대학,대학,대학,Noun
대학원,대학원,대학원,Noun
인문,인문,인문,Noun
대학,대학,대학,Noun
사회과학,사회과학,사회과학,Noun
대학,대학,대학,Noun
경영,경영,경영,Noun
대학,대학,대학,Noun
의과학,의과학,의과학,Noun
대학,대학,대학,Noun
공과대학,공과대학,공과대학,Noun
문화,문화,문화,Noun
융합,융합,융합,Noun
대학,대학,대학,Noun
문화,문화,문화,Noun
관광,관광,관광,Noun
대학,대학,대학,Noun
사범,사범,사범,Noun
대학,대학,대학,Noun
대학원,대학원,대학원,Noun
행정,행정,행정,Noun
대학원,대학원,대학원,Noun
경영,경영,경영,Noun
대학원,대학원,대학원,Noun
교육대학,교육대학,교육대학,Noun
원,원,원,Suffix
문화,문화,문화,Noun
산업,산업,산업,Noun
대학원,대학원,대학원,Noun
선교,선교,선교,Noun
신학,신학,신학,Noun
대학원,대학원,대학원,Noun
상담,상담,상담,Noun
심리,심리,심리,Noun
대학원,대학원,대학원,Noun
대체의학,대체의학,대체의학,Noun
대학원,대학원,대학원,Noun
학과,학과,학과,Noun
신,신,신,Modifier
학과,학과,학과,Noun
경배,경배,경배,Noun
찬양,찬양,찬양,Noun
학과,학과,학과,Noun
신학,신학,신학,Noun
신,신,신,Modifier
학과,학과,학과,Noun
경배,경배,경배,Noun
찬양,찬양,찬양,Noun
학과,학과,학과,Noun
경배,경배,경배,Noun
