surface,normalized,dictionary,pos
에스,에스,에스,Noun
성형,성형,성형,Noun
외과,외과,외과,Noun
진료,진료,진료,Noun
안내,안내,안내,Noun
문의,문의,문의,Noun
하기,하기,하다,Verb
채팅,채팅,채팅,Noun
상담,상담,상담,Noun
전화,전화,전화,Noun
상담,상담,상담,Noun
병원,병원,병원,Noun
소개,소개,소개,Noun
Image,Image,Image,Alpha
Safety,Safety,Safety,Alpha
가치,가치,가치,Noun
높이는,높이는,높이다,Verb
성형,성형,성형,Noun
전,전,전,Noun
후,후,후,Noun
사진,사진,사진,Noun
이벤트,이벤트,이벤트,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
병원,병원,병원,Noun
소개,소개,소개,Noun
Image,Image,Image,Alpha
Safety,Safety,Safety,Alpha
가치,가치,가치,Noun
높이는,높이는,높이다,Verb
성형,성형,성형,Noun
전,전,전,Noun
후,후,후,Noun
사진,사진,사진,Noun
이벤트,이벤트,이벤트,Noun
공지,공지,공지,Noun
사항,사항,사항,Noun
오시는길,오시는길,오다,Verb
상담,상담,상담,Noun
예약,예약,예약,Noun
로그인,로그인,로그인,Noun
진료,진료,진료,Noun
안내,안내,안내,Noun
문의,문의,문의,Noun
하기,하기,하다,Verb
채팅,채팅,채팅,Noun
상담,상담,상담,Noun
전화,전화,전화,Noun
상담,상담,상담,Noun
전,전,전,Noun
후,후,후,Noun
사진,사진,사진,Noun
오시는길,오시는길,오다,Verb
TOP,TOP,TOP,Alpha
전화,전화,전화,Noun
상담,상담,상담,Noun
정보,정보,정보,Noun
남겨주시면,남겨주시면,남기다,Verb
연락,연락,연락,Noun
드리겠습니다,드리겠습니다,드리다,Verb
.,.,.,Punctuation
이름,이름,이름,Noun
연락처,연락처,연락처,Noun
상담,상담,상담,Noun
분야,분야,분야,Noun
선택,선택,선택,Noun
해주세요,해주세요,해주다,Verb
눈,눈,눈,Noun
성형,성형,성형,Noun
중년,중년,중년,Noun
눈,눈,눈,Noun
성형,성형,성형,Noun
코,코,코,Noun
성형,성형,성형,Noun
항노화,항노화,항노화,Noun
