Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
電光,電光,デンコウ,電光,名詞,普通名詞,一般,*,*,*,False,*,*,1
ホーム,ホーム,ホーム,ホーム,名詞,普通名詞,一般,*,*,*,False,*,*,1
DENKO,denko,denko,denko,名詞,普通名詞,一般,*,*,*,True,*,*,1
HOME,ホーム,ホーム,home,名詞,普通名詞,一般,*,*,*,False,*,*,1
主な,主な,オモナ,主な,連体詞,*,*,*,*,*,False,*,*,1
製品,製品,セイヒン,製品,名詞,普通名詞,一般,*,*,*,False,*,*,1
カテゴリ,カテゴリー,カテゴリ,カテゴリ,名詞,普通名詞,一般,*,*,*,False,*,*,1
イルミネーション,イルミネーション,イルミネーション,イルミネーション,名詞,普通名詞,一般,*,*,*,False,*,*,1
ソーラー,ソーラー,ソーラー,ソーラー,名詞,普通名詞,一般,*,*,*,False,*,*,1
ライト,ライト,ライト,ライト,名詞,普通名詞,一般,*,*,*,False,*,*,1
インテリア,インテリア,インテリア,インテリア,名詞,普通名詞,一般,*,*,*,False,*,*,1
ライト,ライト,ライト,ライト,名詞,普通名詞,一般,*,*,*,False,*,*,1
光る,光る,ヒカル,光る,動詞,一般,*,*,五段-ラ行,連体形-一般,False,*,*,1
バーグッズ,バーグッズ,バーグッズ,バーグッズ,名詞,普通名詞,一般,*,*,*,False,*,*,1
照明,照明,ショウメイ,照明,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
機材,機材,キザイ,機材,名詞,普通名詞,一般,*,*,*,False,*,*,1
LED,LED,エルイーディー,LED,名詞,普通名詞,一般,*,*,*,False,*,*,1
看板,看板,カンバン,看板,名詞,普通名詞,一般,*,*,*,False,*,*,1
カテゴリ,カテゴリー,カテゴリ,カテゴリ,名詞,普通名詞,一般,*,*,*,False,*,*,1
一覧,一覧,イチラン,一覧,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
店長,店長,テンチョウ,店長,名詞,普通名詞,一般,*,*,*,False,*,*,1
オススメ,オススメ,オススメ,オススメ,名詞,普通名詞,一般,*,*,*,False,*,*,1
ご利用,ご利用,ゴリヨウ,ご利用,名詞,普通名詞,一般,*,*,*,False,*,ご-利用,1
ガイド,ガイド,ガイド,ガイド,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
配送,配送,ハイソウ,配送,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*,1
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
ブログ,ブログ,ブログ,ブログ,名詞,普通名詞,一般,*,*,*,False,*,*,1
会社概要,会社概要,カイシャガイヨウ,会社概要,名詞,普通名詞,一般,*,*,*,False,会社-概要,会社-概要,1
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*,1
問い合わせ,問い合わせ,トイアワセ,問い合わせ,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
お,御,オ,お,接頭辞,*,*,*,*,*,False,*,*,1
買い物,買い物,カイモノ,買い物,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
便利,便利,ベンリ,便利,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,1
機能,機能,キノウ,機能,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
新規,新規,シンキ,新規,形状詞,一般,*,*,*,*,False,*,*,1
会員登録,会員登録,カイイントウロク,会員登録,名詞,普通名詞,サ変可能,*,*,*,False,会員-登録,会員-登録,1
お気に入り,お気に入り,オキニイリ,お気に入り,名詞,普通名詞,一般,*,*,*,False,*,*,1
ログイン,ログイン,ログイン,ログイン,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
カート,カート,カート,カート,名詞,普通名詞,一般,*,*,*,False,*,*,1
ショップ,ショップ,ショップ,ショップ,名詞,普通名詞,一般,*,*,*,False,*,*,1
配送,配送,ハイソウ,配送,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
つい,つく,ツイ,つく,動詞,一般,*,*,五段-カ行,連用形-イ音便,False,*,*,1
プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,プライバシーポリシー,名詞,固有名詞,一般,*,*,*,False,プライバシー-ポリシー,プライバシー-ポリシー,1
ブログ,ブログ,ブログ,ブログ,名詞,普通名詞,一般,*,*,*,False,*,*,1
