Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
Privacy,プライバシー,プライバシー,privacy,名詞,普通名詞,一般,*,*,*,False,*,*,1
Privacy,プライバシー,プライバシー,privacy,名詞,普通名詞,一般,*,*,*,False,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
RSS,RSS,アールエスエス,RSS,名詞,普通名詞,一般,*,*,*,False,*,*,1
06,06,レイロク,06,名詞,数詞,*,*,*,*,True,*,*,1
27,27,ニナナ,27,名詞,数詞,*,*,*,*,True,*,*,1
Toggle,トグル,トグル,toggle,名詞,普通名詞,一般,*,*,*,False,*,*,1
navigation,ナビゲーション,ナビゲーション,navigation,名詞,普通名詞,一般,*,*,*,False,*,*,1
0,0,レイ,0,名詞,数詞,*,*,*,*,False,*,*,1
N,N,ノルマル,N,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
SM,SM,エスエム,SM,名詞,普通名詞,一般,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
A,a,a,a,名詞,普通名詞,一般,*,*,*,True,*,*,1
AI,AI,エーアイ,AI,名詞,普通名詞,一般,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
19,19,イチキュウ,19,名詞,数詞,*,*,*,*,True,*,*,1
N,N,ノルマル,N,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
AM,AM,エーエム,AM,名詞,普通名詞,一般,*,*,*,False,*,*,1
00,00,レイレイ,00,名詞,数詞,*,*,*,*,True,*,*,1
00,00,レイレイ,00,名詞,数詞,*,*,*,*,True,*,*,1
N,N,ノルマル,N,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
AI,AI,エーアイ,AI,名詞,普通名詞,一般,*,*,*,False,*,*,1
18,18,イチハチ,18,名詞,数詞,*,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
BJ,bj,bj,bj,名詞,普通名詞,一般,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
AV,AV,エーブイ,AV,名詞,普通名詞,一般,*,*,*,False,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
N,N,ノルマル,N,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
N,N,ノルマル,N,名詞,普通名詞,助数詞可能,*,*,*,False,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
0,0,レイ,0,名詞,数詞,*,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
A,a,a,a,名詞,普通名詞,一般,*,*,*,True,*,*,1
AI,AI,エーアイ,AI,名詞,普通名詞,一般,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
19,19,イチキュウ,19,名詞,数詞,*,*,*,*,True,*,*,1
AM,AM,エーエム,AM,名詞,普通名詞,一般,*,*,*,False,*,*,1
00,00,レイレイ,00,名詞,数詞,*,*,*,*,True,*,*,1
00,00,レイレイ,00,名詞,数詞,*,*,*,*,True,*,*,1
AI,AI,エーアイ,AI,名詞,普通名詞,一般,*,*,*,False,*,*,1
18,18,イチハチ,18,名詞,数詞,*,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
BJ,bj,bj,bj,名詞,普通名詞,一般,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
AV,AV,エーブイ,AV,名詞,普通名詞,一般,*,*,*,False,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
17,17,イチナナ,17,名詞,数詞,*,*,*,*,True,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
1,1,イチ,1,名詞,数詞,*,*,*,*,False,*,*,1
ICON,アイコン,アイコン,icon,名詞,普通名詞,一般,*,*,*,False,*,*,1
NAVIGATION,ナビゲーション,ナビゲーション,navigation,名詞,普通名詞,一般,*,*,*,False,*,*,1
MAIN,メイン,メイン,MAIN,名詞,普通名詞,一般,*,*,*,False,*,*,1
NAVIGATION,ナビゲーション,ナビゲーション,navigation,名詞,普通名詞,一般,*,*,*,False,*,*,1
new,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*,1
new,ニュー,ニュー,New,名詞,普通名詞,一般,*,*,*,False,*,*,1
S,s,s,s,名詞,普通名詞,一般,*,*,*,True,*,*,1
