Surface,Normalized,Reading,Dictionary,POS1,POS2,POS3,POS4,Conj_Type,Conj,OOV,B_Split,A_Split,Section
労働安全衛生,労働安全衛生,ロウドウアンゼンエイセイ,労働安全衛生,名詞,普通名詞,一般,*,*,*,False,労働-安全-衛生,労働-安全-衛生,1
保護具,保護具,ホゴグ,保護具,名詞,固有名詞,一般,*,*,*,False,保護-具,保護-具,1
の,の,ノ,の,助詞,格助詞,*,*,*,*,False,*,*,1
通販サイト,通販サイト,ツウハンサイト,通販サイト,名詞,固有名詞,一般,*,*,*,False,通販-サイト,通販-サイト,1
「,「,キゴウ,「,補助記号,括弧開,*,*,*,*,False,*,*,1
安全,安全,アンゼン,安全,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,1
モール,モール,モール,モール,名詞,普通名詞,一般,*,*,*,False,*,*,1
　, ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
本店,本店,ホンテン,本店,名詞,普通名詞,一般,*,*,*,False,*,*,1
」,」,キゴウ,」,補助記号,括弧閉,*,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
安全,安全,アンゼン,安全,名詞,普通名詞,形状詞可能,*,*,*,False,*,*,1
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*,1
衛生,衛生,エイセイ,衛生,名詞,普通名詞,一般,*,*,*,False,*,*,1
・,・,・,・,補助記号,一般,*,*,*,*,False,*,*,1
保護,保護,ホゴ,保護,名詞,普通名詞,サ変可能,*,*,*,False,*,*,1
製品,製品,セイヒン,製品,名詞,普通名詞,一般,*,*,*,False,*,*,1
の,の,ノ,の,助詞,格助詞,*,*,*,*,False,*,*,1
専門店,専門店,センモンテン,専門店,名詞,普通名詞,一般,*,*,*,False,*,専門-店,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
カテゴリ,カテゴリー,カテゴリ,カテゴリ,名詞,普通名詞,一般,*,*,*,False,*,*,1
で,で,デ,で,助詞,格助詞,*,*,*,*,False,*,*,1
探す,探す,サガス,探す,動詞,一般,*,*,五段-サ行,終止形-一般,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
マスク,マスク,マスク,マスク,名詞,普通名詞,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
防塵,防塵,ボウジン,防塵,名詞,普通名詞,一般,*,*,*,False,*,*,1
マスク,マスク,マスク,マスク,名詞,普通名詞,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
使い捨て,使い捨て,ツカイステ,使い捨て,名詞,普通名詞,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
取替,取り替え,トリカエ,取替,名詞,普通名詞,一般,*,*,*,False,*,*,1
式,式,シキ,式,名詞,普通名詞,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
フィルター,フィルター,フィルター,フィルター,名詞,普通名詞,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
電動,電動,デンドウ,電動,名詞,普通名詞,一般,*,*,*,False,*,*,1
ファン,ファン,ファン,ファン,名詞,普通名詞,一般,*,*,*,False,*,*,1
付き,付き,ツキ,付き,接尾辞,名詞的,一般,*,*,*,False,*,*,1
 , ,キゴウ, ,空白,*,*,*,*,*,False,*,*,1
防毒,防毒,ボウドク,防毒,名詞,普通名詞,一般,*,*,*,False,*,*,1
